name,Sex,Team,Sport,Medal,Medal_Count
Christian Marie Auguste d'Oriola,M,France,Fencing,Gold,4
"Dara Grace Torres (-Hoffman, -Minas)",F,United States,Swimming,Gold,4
Dawn Lorraine Fraser,F,Australia,Swimming,Gold,4
Diana Lurena Taurasi,F,United States,Basketball,Gold,4
Doina Ignat,F,Romania,Rowing,Gold,4
Ecaterina (Katalin-) Szabo (-Tamas),F,Romania,Gymnastics,Gold,4
Edy Sixten Jernberg,M,Sweden,Cross Country Skiing,Gold,4
Einar Liberg,M,Norway,Shooting,Gold,4
"Elizabeth Alyse ""Betty"" Cuthbert",F,Australia,Athletics,Gold,4
Emil Hegle Svendsen,M,Norway,Biathlon,Gold,4
Emil Ztopek,M,Czechoslovakia,Athletics,Gold,4
Eric Otto Valdemar Lemming,M,Sweden,Athletics,Gold,4
Evelyn Ashford (-Washington),F,United States,Athletics,Gold,4
"Francina Elsje ""Fanny"" Blankers-Koen",F,Netherlands,Athletics,Gold,4
Fu Mingxia,F,China,Diving,Gold,4
Galina Alekseyevna Kulakova,F,Soviet Union,Cross Country Skiing,Gold,4
"Georg ""Georges"" Miez",M,Switzerland,Gymnastics,Gold,4
Giorgio Zampori,M,Italy,Gymnastics,Gold,4
Giovanna Trillini,F,Italy,Fencing,Gold,4
Giuseppe Delfino,M,Italy,Fencing,Gold,4
"Gregory Efthimios ""Greg"" Louganis",M,United States,Diving,Gold,4
Gunde Anders Svan,M,Sweden,Cross Country Skiing,Gold,4
Guo Jingjing,F,China,Diving,Gold,4
Gyz Kulcsr,M,Hungary,Fencing,Gold,4
Hans Gnter Winkler,M,Germany,Equestrianism,Gold,4
Hayley Marie Wickenheiser,F,Canada,Ice Hockey,Gold,4
Henri Julius Reverony Saint Cyr,M,Sweden,Equestrianism,Gold,4
Henry Taylor,M,Great Britain,Swimming,Gold,4
Iain Murray Rose,M,Australia,Swimming,Gold,4
Ian Gordon Ferguson,M,New Zealand,Canoeing,Gold,4
Inge de Bruijn,F,Netherlands,Swimming,Gold,4
"Irene Karlijn ""Ireen"" Wst",F,Netherlands,Speed Skating,Gold,4
