name,Sex,Team,Sport,Medal,Medal_Count
"Allan Ruggles ""Al"" Purvis",M,Canada,Ice Hockey,Gold,1
Allan Schofield,M,India,Hockey,Gold,1
Allan Wade Houston,M,United States,Basketball,Gold,1
Allan Wipper Wells,M,Great Britain,Athletics,Gold,1
Allen Jerome Morgan,M,United States,Rowing,Gold,1
Allen Kenneth Johnson,M,United States,Athletics,Gold,1
Allen McIntyre Stack,M,United States,Swimming,Gold,1
Allen Whitty,M,Great Britain,Shooting,Gold,1
Allen Woodring,M,United States,Athletics,Gold,1
Allison Blair Jolly (-Elliot),F,United States,Sailing,Gold,1
"Allison Jaime ""A. J."" Mleczko (-Griswold)",F,United States,Ice Hockey,Gold,1
Alma Wilford Richards,M,United States,Athletics,Gold,1
Almaz Ayana Eba,F,Ethiopia,Athletics,Gold,1
Almudena Muoz Martnez,F,Spain,Judo,Gold,1
Almuth Schult,F,Germany,Football,Gold,1
Alois Bierl,M,West Germany,Rowing,Gold,1
Alois Hudec,M,Czechoslovakia,Gymnastics,Gold,1
Alonzo Harding Mourning,M,United States,Basketball,Gold,1
Alphonse Achille Souchard,M,France,Cycling,Gold,1
"Alphonse Adolph Burnand, Jr.",M,Angelita,Sailing,Gold,1
Alphonse Gemuseus,M,Switzerland,Equestrianism,Gold,1
Alphonse Laverrire,M,Switzerland,Art Competitions,Gold,1
Alvaro Nainovi,M,Croatia,Handball,Gold,1
Alvin Cyrrale Robertson,M,United States,Basketball,Gold,1
Alvin Leonardo Harrison,M,United States,Athletics,Gold,1
"Alvin Roy ""Allie"" Morrison",M,United States,Wrestling,Gold,1
Alwin Schockemhle,M,Germany,Equestrianism,Gold,1
Alwin Schockemhle,M,West Germany,Equestrianism,Gold,1
Alwyn Morris,M,Canada,Canoeing,Gold,1
Alyssa Jean Anderson,F,United States,Swimming,Gold,1
Alzhan Musurbekovich Zharmukhamedov,M,Soviet Union,Basketball,Gold,1
Amanda Elmore,F,United States,Rowing,Gold,1
Amanda Kathleen Borden (-Cochran),F,United States,Gymnastics,Gold,1
Amanda Louise Freed,F,United States,Softball,Gold,1
Amanda Maria Kurtovic,F,Norway,Handball,Gold,1
Amanda Polk,F,United States,Rowing,Gold,1
Amarjit Singh Rana,M,India,Hockey,Gold,1
Amauri Ribeiro,M,Brazil,Volleyball,Gold,1
Amaury Raymond Leveaux,M,France,Swimming,Gold,1
Ambrogio Levati,M,Italy,Gymnastics,Gold,1
Amde Georges Marie Thub,M,Mac Miche,Sailing,Gold,1
Amedeo Ambron,M,Italy,Water Polo,Gold,1
Amedeo Pomilio,M,Italy,Water Polo,Gold,1
Amit Singh Bakshi,M,India,Hockey,Gold,1
Amos Kipwabok Biwott,M,Kenya,Athletics,Gold,1
Amy Elizabeth LePeilbet,F,United States,Football,Gold,1
Amy Joy Williams,F,Great Britain,Skeleton,Gold,1
Amy Turner,F,Australia,Rugby Sevens,Gold,1
Amy Yuen-Yee Chow (-Ho),F,United States,Gymnastics,Gold,1
An Byeong-Geun,M,South Korea,Judo,Gold,1
An Han-Bong,M,South Korea,Wrestling,Gold,1
An Kum-Ae,F,North Korea,Judo,Gold,1
An Sang-Mi,F,South Korea,Short Track Speed Skating,Gold,1
Ana Maria Florentina Brnz-Popescu,F,Romania,Fencing,Gold,1
Anastasiya Alekseyevna Tatareva,F,Russia,Rhythmic Gymnastics,Gold,1
Anastasiya Ivanovna Maksimova,F,Russia,Rhythmic Gymnastics,Gold,1
Anastasiya Konstantinovna Nazarenko,F,Russia,Rhythmic Gymnastics,Gold,1
Anastasiya Mykolavna Kozhenkova,F,Ukraine,Rowing,Gold,1
"Anastasiya Valeryevna ""Nastia"" Liukin",F,United States,Gymnastics,Gold,1
Anatoliy Ivanovych Polyvoda,M,Soviet Union,Basketball,Gold,1
Anatoliy Oleksiyovych Chukanov,M,Soviet Union,Cycling,Gold,1
Anatoliy Pavlovych Bondarchuk,M,Soviet Union,Athletics,Gold,1
Anatoly Aleksandrovich Roshchin,M,Soviet Union,Wrestling,Gold,1
Anatoly Alekseyevich Beloglazov,M,Soviet Union,Wrestling,Gold,1
Anatoly Anatolyevich Semyonov,M,Soviet Union,Ice Hockey,Gold,1
Anatoly Fomich Sass,M,Soviet Union,Rowing,Gold,1
Anatoly Ivanovich Akimov,M,Soviet Union,Water Polo,Gold,1
Anatoly Ivanovich Kolesov,M,Soviet Union,Wrestling,Gold,1
Anatoly Ivanovich Parfyonov,M,Soviet Union,Wrestling,Gold,1
Anatoly Konstantinovich Isayev,M,Soviet Union,Football,Gold,1
Anatoly Kuzmich Grishin,M,Soviet Union,Canoeing,Gold,1
Anatoly Mikhaylovich Bykov,M,Soviet Union,Wrestling,Gold,1
Anatoly Mikhaylovich Ilyin,M,Soviet Union,Football,Gold,1
Anatoly Mikhaylovich Khrapaty,M,Soviet Union,Weightlifting,Gold,1
Anatoly Nikolayevich Yarkin,M,Soviet Union,Cycling,Gold,1
Anatoly Semyonovich Ionov,M,Soviet Union,Ice Hockey,Gold,1
Anatoly Vasilyevich Bashashkin,M,Soviet Union,Football,Gold,1
Anatoly Viktorovich Fedyukin,M,Soviet Union,Handball,Gold,1
Anatoly Yevstigneyevich Maslyonkin,M,Soviet Union,Football,Gold,1
Anca Tnase (-Ruican),F,Romania,Rowing,Gold,1
Anders Aukland,M,Norway,Cross Country Skiing,Gold,1
Anders Boo Georg Kullberg,M,Sweden,Gymnastics,Gold,1
"Anders Gustaf Paulus ""Paul"" Paln",M,Sweden,Shooting,Gold,1
Anders Hylander,M,Sweden,Gymnastics,Gold,1
Anders Larsson,M,Sweden,Wrestling,Gold,1
Anders Lundgren,M,Elisabeth V,Sailing,Gold,1
Anders Martinus Petersen,M,Denmark,Shooting,Gold,1
Anders Niclas Hvelid,M,Sweden,Ice Hockey,Gold,1
Anders Per-Johan Axelsson,M,Sweden,Ice Hockey,Gold,1
Anders Peter Nielsen,M,Denmark,Shooting,Gold,1
Anders Pontus Humbert Lundn,M,Kitty-1,Sailing,Gold,1
Anderson de Oliveira Rodrigues,M,Brazil,Volleyball,Gold,1
Andon Nikolov,M,Bulgaria,Weightlifting,Gold,1
Andr Auffray,M,France,Cycling,Gold,1
Andr Bonin,M,France,Fencing,Gold,1
"Andr Felipe ""Pampa"" Falbo Ferreira",M,Brazil,Volleyball,Gold,1
Andr Flix Rischmann,M,Union des Socits Franais de Sports Athletiques,Rugby,Gold,1
Andr Gerhard Wohllebe,M,Germany,Canoeing,Gold,1
Andr Heller,M,Brazil,Volleyball,Gold,1
Andr Hoffmann,M,East Germany,Speed Skating,Gold,1
Andr Joseph Fierens,M,Belgium,Football,Gold,1
Andr Lamar Phillips,M,United States,Athletics,Gold,1
Andr Lange,M,Germany-2,Bobsleigh,Gold,1
Andr Leducq,M,France,Cycling,Gold,1
Andr Louis Marie Derrien,M,L'Aile VI,Sailing,Gold,1
Andr Luiz da Silva Nascimento,M,Brazil,Volleyball,Gold,1
Andr Paul Henri Nol Lesauvage,M,L'Aile VI,Sailing,Gold,1
Andr Steiner,M,Germany,Rowing,Gold,1
Andre Kirk Agassi,M,United States,Tennis,Gold,1
Andre Tyler Iguodala,M,United States,Basketball,Gold,1
Andre Ward,M,United States,Boxing,Gold,1
Andrea Arlene Anderson (-Bolder),F,United States,Athletics,Gold,1
Andrea Baldini,M,Italy,Fencing,Gold,1
Andrea Benelli,M,Italy,Shooting,Gold,1
Andrea Bod-Molnr,F,Hungary,Gymnastics,Gold,1
Andrea Borella,M,Italy,Fencing,Gold,1
Andrea Cipressa,M,Italy,Fencing,Gold,1
Andrea Collinelli,M,Italy,Cycling,Gold,1
Andrea Ehrig-Schne-Mitscherlich,F,East Germany,Speed Skating,Gold,1
Andrea Fischbacher,F,Austria,Alpine Skiing,Gold,1
Andrea Kurth (-Sredzki),F,East Germany,Rowing,Gold,1
Andrea Lane Lloyd (-Curry),F,United States,Basketball,Gold,1
Andrea Marrazzi,M,Italy,Fencing,Gold,1
Andrea Minguzzi,M,Italy,Wrestling,Gold,1
"Andreas ""Anderl"" Ostler",M,Germany,Bobsleigh,Gold,1
"Andreas ""Anderl"" Ostler",M,Germany-1,Bobsleigh,Gold,1
"Andreas ""Sonny"" Schnbchler",M,Switzerland,Freestyle Skiing,Gold,1
Andreas Bang Brecke,M,Jo,Sailing,Gold,1
Andreas Bang Brecke,M,Taifun,Sailing,Gold,1
Andreas Becker,M,Germany,Hockey,Gold,1
Andreas Cervin,M,Sweden,Gymnastics,Gold,1
Andreas Dibowski,M,Germany,Equestrianism,Gold,1
Andreas Drivas,M,"Large boat, Central Naval Prep School ""Poros""-1",Rowing,Gold,1
Andreas Gregor,M,East Germany,Rowing,Gold,1
Andreas Hagelund (Olsen-),M,Norway,Gymnastics,Gold,1
Andreas Ihle,M,Germany,Canoeing,Gold,1
Andreas Keller,M,Germany,Hockey,Gold,1
Andreas Kirchner,M,East Germany-1,Bobsleigh,Gold,1
Andreas Kuffner,M,Germany,Rowing,Gold,1
Andreas Tews,M,Germany,Boxing,Gold,1
Andreas Walzer,M,Germany,Cycling,Gold,1
Andreas Wank,M,Germany,Ski Jumping,Gold,1
Andreas Wecker,M,Germany,Gymnastics,Gold,1
Andreas Wellinger,M,Germany,Ski Jumping,Gold,1
Andreas Widhlzl,M,Austria,Ski Jumping,Gold,1
Andreas Zlow,M,East Germany,Boxing,Gold,1
Andreea Mdlina Rducan,F,Romania,Gymnastics,Gold,1
"Andrew ""Andy"" Crosby",M,Canada,Rowing,Gold,1
Andrew Dollman Cooper,M,Australia,Rowing,Gold,1
Andrew Edward Strenk,M,United States,Swimming,Gold,1
"Andrew Jackson Libano, Jr.",M,Jupiter,Sailing,Gold,1
Andrew James Ronald Lindsay,M,Great Britain,Rowing,Gold,1
Andrew James Simpson,M,Great Britain,Sailing,Gold,1
Andrew Lester Maynard,M,United States,Boxing,Gold,1
"Andrew Murray ""Boy"" Charlton",M,Australia,Swimming,Gold,1
Andrew Rock,M,United States,Athletics,Gold,1
Andrey Aleksandrovich Silnov,M,Russia,Athletics,Gold,1
Andrey Alekseyevich Tyumentsev,M,Soviet Union,Handball,Gold,1
Andrey Anatolyevich Bukin,M,Soviet Union-1,Figure Skating,Gold,1
Andrey Borisovich Perlov,M,Unified Team,Athletics,Gold,1
Andrey Ivanovich Chemerkin,M,Russia,Weightlifting,Gold,1
Andrey Ivanovich Krylov,M,Soviet Union,Swimming,Gold,1
Andrey Ivanovich Lavrov,M,Russia,Handball,Gold,1
Andrey Ivanovich Lavrov,M,Soviet Union,Handball,Gold,1
Andrey Ivanovich Lavrov,M,Unified Team,Handball,Gold,1
Andrey Khakimovich Abduvaliyev,M,Unified Team,Athletics,Gold,1
Andrey Nikolayevich Aryamnov,M,Belarus,Weightlifting,Gold,1
Andrey Nikolayevich Kovalenko,M,Unified Team,Ice Hockey,Gold,1
Andrey Stanislavovich Barbashinsky,M,Unified Team,Handball,Gold,1
Andrey Valentinovich Khomutov,M,Unified Team,Ice Hockey,Gold,1
Andrey Vasilyevich Prokofyev,M,Soviet Union,Athletics,Gold,1
Andrey Viktorovich Bogdanovich,M,Belarus,Canoeing,Gold,1
Andrey Viktorovich Trefilov,M,Unified Team,Ice Hockey,Gold,1
Andrey Vyacheslavovich Lomakin,M,Soviet Union,Ice Hockey,Gold,1
"Andrija ""Andro"" Knego",M,Yugoslavia,Basketball,Gold,1
Andrija Ankovi,M,Yugoslavia,Football,Gold,1
Andrija Geri,M,Serbia and Montenegro,Volleyball,Gold,1
Andrija Popovi,M,Yugoslavia,Water Polo,Gold,1
Andrija Prlainovi,M,Serbia,Water Polo,Gold,1
Andriy Ivanovych Khimich,M,Soviet Union,Canoeing,Gold,1
Andro Bulje,M,Croatia,Water Polo,Gold,1
Andrs Aldama Cabrera,M,Cuba,Boxing,Gold,1
Andrs Bodnr,M,Hungary,Water Polo,Gold,1
Andrs Gazzotti,M,Argentina,Polo,Gold,1
Andrs Marcelo Nocioni Roux,M,Argentina,Basketball,Gold,1
Andrs Nicols D'Alessandro,M,Argentina,Football,Gold,1
Andrs Sike,M,Hungary,Wrestling,Gold,1
"Anett Ptzsch (-Witt, -Rauschenbach)",F,East Germany,Figure Skating,Gold,1
"Anfernee Deon ""Penny"" Hardaway",M,United States,Basketball,Gold,1
Anfisa Anatolyevna Reztsova (Romanova-),F,Russia,Biathlon,Gold,1
Anfisa Anatolyevna Reztsova (Romanova-),F,Soviet Union,Cross Country Skiing,Gold,1
Anfisa Anatolyevna Reztsova (Romanova-),F,Unified Team,Biathlon,Gold,1
Angela Cutrone,F,Canada,Short Track Speed Skating,Gold,1
Angela Marie Ruggiero,F,United States,Ice Hockey,Gold,1
Angela Pumariega Menndez,F,Spain,Sailing,Gold,1
"Angela Robyn ""Angie"" Skirving-Lambert",F,Australia,Hockey,Gold,1
Angela Voigt (Schmalfeld-),F,East Germany,Athletics,Gold,1
Angelika Bahmann,F,East Germany,Canoeing,Gold,1
Angelika Noack,F,East Germany,Rowing,Gold,1
Angelo Arcidiacono,M,Italy,Fencing,Gold,1
Angelo Damiano,M,Italy,Cycling,Gold,1
Angelo De Martini,M,Italy,Cycling,Gold,1
Angelo Fornaciari,M,"Marinai della nave da guerra ""Varese""",Rowing,Gold,1
Angelo Parisi,M,France,Judo,Gold,1
Angelo Scalzone,M,Italy,Shooting,Gold,1
Angelo Scuri,M,Italy,Fencing,Gold,1
Angelo Vanzin,M,Italy,Rowing,Gold,1
Angie Lee Bainbridge,F,Australia,Swimming,Gold,1
Angla Nmeth-Rnky,F,Hungary,Athletics,Gold,1
"Angus F. ""Gus"" Dillon",M,Canada,Lacrosse,Gold,1
Anier Octavio Garca Ortz,M,Cuba,Athletics,Gold,1
Anioara Sorohan-Minea,F,Romania,Rowing,Gold,1
Anioara Stanciu-Cumir,F,Romania,Athletics,Gold,1
Anita Brwirth (-Hardekopf),F,Germany,Gymnastics,Gold,1
Anita Lonsbrough (-Porter),F,Great Britain,Swimming,Gold,1
Anita Rapp (-degrd),F,Norway,Football,Gold,1
Anita Wachter (-Salzgeber),F,Austria,Alpine Skiing,Gold,1
Anita Wodarczyk,F,Poland,Athletics,Gold,1
Anja Byrial Hansen (-Pedersen),F,Denmark,Handball,Gold,1
Anja Jul Andersen,F,Denmark,Handball,Gold,1
Anja Kluge,F,East Germany,Rowing,Gold,1
Anja Mittag,F,Germany,Football,Gold,1
Anja Nielsen,F,Denmark,Handball,Gold,1
Anja Schneiderheinze (-Stckel),F,Germany-1,Bobsleigh,Gold,1
Anja Sofia Tess Prson,F,Sweden,Alpine Skiing,Gold,1
Anke Borchmann (Grnberg-),F,East Germany,Rowing,Gold,1
Anke Khn (-Khne),F,Germany,Hockey,Gold,1
Anke Nothnagel-von Seck,F,Germany,Canoeing,Gold,1
Ann Elizabeth Packer (-Brightwell),F,Great Britain,Athletics,Gold,1
"Ann-Kathrin Linsenhoff (-Kroth, -Rath)",F,West Germany,Equestrianism,Gold,1
Ann-Mary Gwynne Grant (Fletcher-),F,Zimbabwe,Hockey,Gold,1
"Anna ""Annie"" Hbler (-Horn)",F,Germany,Figure Skating,Gold,1
"Anna ""Ans"" Polak (-Dresden)",F,Netherlands,Gymnastics,Gold,1
Anna Aleksandre Dogonadze-Lilkendey,F,Germany,Trampolining,Gold,1
Anna Fenninger (-Veith),F,Austria,Alpine Skiing,Gold,1
Anna Goodale,F,United States,Rowing,Gold,1
Anna Gunilla Olsson,F,Sweden,Canoeing,Gold,1
"Anna Johanna Geertruida Maria ""Annie"" Borckink",F,Netherlands,Speed Skating,Gold,1
Anna Korakaki,F,Greece,Shooting,Gold,1
Anna Maiques i Dern,F,Spain,Hockey,Gold,1
Anna Margret Haag (Hansson-),F,Sweden,Cross Country Skiing,Gold,1
"Anna Maria ""Annie"" van der Vegt (-Smeeman)",F,Netherlands,Gymnastics,Gold,1
"Anna Maria Bernadette ""Det"" de Beus",F,Netherlands,Hockey,Gold,1
Anna Mickelson-Cummins,F,United States,Rowing,Gold,1
Anna Rose Bebington-Watkins,F,Great Britain,Rowing,Gold,1
Anna Sergeyevna Sedoykina,F,Russia,Handball,Gold,1
Anna Sergeyevna Sen,F,Russia,Handball,Gold,1
Anna Stefanie Nanny Fryland Clausen (-Fryland),F,Denmark,Diving,Gold,1
"Anna Teresa Margareta ""Greta"" Johansson (-Brandsten)",F,Sweden,Diving,Gold,1
Anna Tunnicliffe (-Funk),F,United States,Sailing,Gold,1
Anna Viktoria Dahlberg-Olsson,F,Sweden,Cross Country Skiing,Gold,1
Anna Viktorovna Vyakhireva,F,Russia,Handball,Gold,1
Anna Vitalyevna Gavrilenko,F,Russia,Rhythmic Gymnastics,Gold,1
Anna Vitalyevna Sivkova,F,Russia,Fencing,Gold,1
Anna Vladimirovna Chicherova,F,Russia,Athletics,Gold,1
Anna van der Breggen,F,Netherlands,Cycling,Gold,1
Anna-Carin Helena Cecilia Olofsson-Zidek,F,Sweden,Biathlon,Gold,1
Anna-Maria Mller (-Murach),F,East Germany,Luge,Gold,1
Anne Briand-Bouthiaux,F,France,Biathlon,Gold,1
Anne Dorthe Tanderup,F,Denmark,Handball,Gold,1
Anne Elizabeth Henning (-Walker),F,United States,Speed Skating,Gold,1
Anne Heggtveit (-Hamilton),F,Canada,Alpine Skiing,Gold,1
Anne Jahren,F,Norway,Cross Country Skiing,Gold,1
Anne Kindel Warner (-Cribbs),F,United States,Swimming,Gold,1
"Anne Lucia Cornelia Maria ""Anneloes"" Nieuwenhuizen",F,Netherlands,Hockey,Gold,1
Anne Marjut Astrid Rolig-Lukkarinen,F,Finland,Cross Country Skiing,Gold,1
Anne Ottenbrite (-Muylaert),F,Canada,Swimming,Gold,1
Anne Tnnessen,F,Norway,Football,Gold,1
Anne-Caroline Stphanie Chausson,F,France,Cycling,Gold,1
Annegret Strauch (-Hmisch),F,East Germany,Rowing,Gold,1
Annekatrin Thiele,F,Germany,Rowing,Gold,1
Anneliese Ehrhardt (Jahns-),F,East Germany,Athletics,Gold,1
Annemarie Moser-Prll,F,Austria,Alpine Skiing,Gold,1
Annemarie Zimmermann,F,Germany,Canoeing,Gold,1
Annemarie Zimmermann,F,West Germany,Canoeing,Gold,1
Annette Elizabeth Salmeen,F,United States,Swimming,Gold,1
Annette Klug,F,West Germany,Fencing,Gold,1
Anni Helena Kivioja-Takalo,F,Finland,Cross Country Skiing,Gold,1
Annibale Frossi,M,Italy,Football,Gold,1
Annie Coupe Speirs (-Coombe),F,Great Britain,Swimming,Gold,1
Annika Elise Madsen Dries,F,United States,Water Polo,Gold,1
Annike Berit Krahn,F,Germany,Football,Gold,1
Ansgar Wessling,M,West Germany,Rowing,Gold,1
Antal Dunai (Dujmov),M,Hungary,Football,Gold,1
Antal Kocsis,M,Hungary,Boxing,Gold,1
Antal Kovcs,M,Hungary,Judo,Gold,1
Antal Szentmihlyi,M,Hungary,Football,Gold,1
Antarge Sherpa,M,India,Alpinism,Gold,1
Anthea Dorine Stewart (Allin-),F,Zimbabwe,Hockey,Gold,1
"Anthonie Christiaan ""Teun"" Beijnen",M,Netherlands,Rowing,Gold,1
"Anthony ""Tony"" Terlazzo",M,United States,Weightlifting,Gold,1
"Anthony Braemar ""Tony"" Ineson",M,New Zealand,Hockey,Gold,1
Anthony Bruce Kendall,M,New Zealand,Sailing,Gold,1
Anthony Conrad Nesty,M,Suriname,Swimming,Gold,1
"Anthony James Dillon ""Tony"" Nash",M,Great Britain-1,Bobsleigh,Gold,1
"Anthony John ""Tony"" Hurt",M,New Zealand,Rowing,Gold,1
"Anthony John ""Tony"" Marchant",M,Australia,Cycling,Gold,1
Anthony Marcus Sanders,M,United States,Baseball,Gold,1
"Anthony Marshon Davis, Jr.",M,United States,Basketball,Gold,1
Anthony Oluwafemi Olaseni Joshua,M,Great Britain,Boxing,Gold,1
"Anthony William ""Nick"" Winter",M,Australia,Athletics,Gold,1
Anthuan Maybank,M,United States,Athletics,Gold,1
Antje Misersky-Harvey,F,Germany,Biathlon,Gold,1
Antn Paz Blanco,M,Spain,Sailing,Gold,1
"Antnio Carlos ""Carlo"" Aguilar Gouveia",M,Brazil,Volleyball,Gold,1
Antoine Dnriaz,M,France,Alpine Skiing,Gold,1
"Anton ""Ante"" Josipovi",M,Yugoslavia,Boxing,Gold,1
"Anton ""Toni"" Innauer",M,Austria,Ski Jumping,Gold,1
"Anton ""Toni"" Schmid",M,Germany,Alpinism,Gold,1
Anton Heida,M,"Philadelphia Turngemeinde, Philadelphia",Gymnastics,Gold,1
Anton Julen,M,Switzerland,Military Ski Patrol,Gold,1
Anton Oving Orla Jrgensen,M,Denmark,Cycling,Gold,1
Anton Sergeyevich Kushnir,M,Belarus,Freestyle Skiing,Gold,1
Anton Tarielyevich Sikharulidze,M,Russia-1,Figure Skating,Gold,1
Anton Tk,M,Czechoslovakia,Cycling,Gold,1
Anton Vladimirovich Shipulin,M,Russia,Biathlon,Gold,1
Antonella Ragno-Lonzi,F,Italy,Fencing,Gold,1
Antoni Jan Szymanowski,M,Poland,Football,Gold,1
Antonina Vladimirovna Koshel,F,Soviet Union,Gymnastics,Gold,1
"Antonio ""Toni"" Jimnez Sistachs",M,Spain,Football,Gold,1
Antonio Allocchio,M,Italy,Fencing,Gold,1
Antonio Bailetti,M,Italy,Cycling,Gold,1
Antonio Cmpolo,M,Uruguay,Football,Gold,1
Antonio Conte,M,Italy,Fencing,Gold,1
Antonio Domenicali,M,Italy,Cycling,Gold,1
Antonio Keithflen McDyess,M,United States,Basketball,Gold,1
Antonio Marovelli,M,Italy,Gymnastics,Gold,1
Antonio Pinilla Miranda,M,Spain,Football,Gold,1
Antonio Roldn Reyna,M,Mexico,Boxing,Gold,1
Antonio Spallino,M,Italy,Fencing,Gold,1
Antonio Tartaglia,M,Italy-1,Bobsleigh,Gold,1
Antonio Vzquez Megido,M,Spain,Archery,Gold,1
"Antonius Johannes ""Anton"" Geesink",M,Netherlands,Judo,Gold,1
Antonius Theodorus Colenbrander,M,Netherlands,Equestrianism,Gold,1
Ants Antson,M,Soviet Union,Speed Skating,Gold,1
Antti Abram Hyvrinen,M,Finland,Ski Jumping,Gold,1
"Antun ""Ante"" aneti",M,Yugoslavia,Football,Gold,1
Anvar Kamilevich Ibragimov,M,Soviet Union,Fencing,Gold,1
Anwar Ahmed Khan,M,Pakistan,Hockey,Gold,1
Anzhelika Igorevna Timanina,F,Russia,Synchronized Swimming,Gold,1
Apisai Raviyawa Domolailai,M,Fiji,Rugby Sevens,Gold,1
"Archibald ""Archie"" Stinchcombe",M,Great Britain,Ice Hockey,Gold,1
"Archibald A. ""Archie"" MacKinnon",M,Canada,Rowing,Gold,1
"Archibald Franklin ""Archie"" Williams",M,United States,Athletics,Gold,1
Argentino Rafael Iglesias,M,Argentina,Boxing,Gold,1
Argos Milonas,M,"Large boat, Central Naval Prep School ""Poros""-1",Rowing,Gold,1
Aria Fischer,F,United States,Water Polo,Gold,1
Arianna Errigo,F,Italy,Fencing,Gold,1
Arie Gerrit van Vliet,M,Netherlands,Cycling,Gold,1
Ariel Osvaldo Pestano Valdes,M,Cuba,Baseball,Gold,1
Aries D'Andre Merritt,M,United States,Athletics,Gold,1
Aristidis Konstantinidis,M,Greece,Cycling,Gold,1
Arkadiusz Godel,M,Poland,Fencing,Gold,1
Arlen Lpez Cardona,M,Cuba,Boxing,Gold,1
Arlie Alfred Schardt,M,United States,Athletics,Gold,1
Arman Hall,M,United States,Athletics,Gold,1
Armand Joseph Antoine Alexis Swartenbroecks,M,Belgium,Football,Gold,1
Armand mile Nicolas Massard,M,France,Fencing,Gold,1
Armando Martnez Limendu,M,Cuba,Boxing,Gold,1
Armen Lyudvikovich Nazaryan,M,Armenia,Wrestling,Gold,1
Armen Lyudvikovich Nazaryan,M,Bulgaria,Wrestling,Gold,1
Armin Eichholz,M,West Germany,Rowing,Gold,1
Armin Kurt Seiffert,M,United States,Rowing,Gold,1
Arminas Narbekovas,M,Soviet Union,Football,Gold,1
Arnaldo Andreoli,M,Italy,Gymnastics,Gold,1
Arnaldo Carli,M,Italy,Cycling,Gold,1
Arnaud Boiteau,M,France,Equestrianism,Gold,1
Arnaud Pascal Geyre,M,France,Cycling,Gold,1
Arnaud Pierre Armand Tournant,M,France,Cycling,Gold,1
Arnd Rdiger Schmitt,M,Germany,Fencing,Gold,1
Arnd Rdiger Schmitt,M,West Germany,Fencing,Gold,1
Arne Nannestad Sejersted,M,Mosk II,Sailing,Gold,1
Arne Per hman,M,Sweden,Athletics,Gold,1
Arnfinn Bergmann,M,Norway,Ski Jumping,Gold,1
Arnfinn Kolbjrn Heje,M,Magda IX,Sailing,Gold,1
Arno Bieberstein,M,Germany,Swimming,Gold,1
"Arnold ""Noldi"" Gartmann",M,Switzerland-2,Bobsleigh,Gold,1
Arnold Nugent Strode Jackson (-Strode-Jackson),M,Great Britain,Athletics,Gold,1
Arsen Mek'ok'ishvili,M,Soviet Union,Wrestling,Gold,1
Arsen Suleymanovich Fadzayev,M,Soviet Union,Wrestling,Gold,1
Arsen Suleymanovich Fadzayev,M,Unified Team,Wrestling,Gold,1
Arsen Zhorayevich Galstyan,M,Russia,Judo,Gold,1
Arsi Ilari Harju,M,Finland,Athletics,Gold,1
Arthur Allers,M,Heira II,Sailing,Gold,1
Arthur Ashton Carnell,M,Great Britain,Shooting,Gold,1
Arthur Charles Hind,M,India,Hockey,Gold,1
Arthur Dale Rothrock,M,United States,Shooting,Gold,1
Arthur Drummond Downes,M,Hera-1,Sailing,Gold,1
"Arthur Edwin ""Art"" Cook",M,United States,Shooting,Gold,1
Arthur Edwin Hill,M,Great Britain,Water Polo,Gold,1
Arthur Egerton Knight,M,Great Britain,Football,Gold,1
Arthur Ernest Burrington Birkett,M,Devon and Somerset Wanderers,Cricket,Gold,1
Arthur Francis Leighton,M,Great Britain,Hockey,Gold,1
Arthur Godfrey Kilner Brown,M,Great Britain,Athletics,Gold,1
"Arthur Harold ""Art"" Harnden",M,United States,Athletics,Gold,1
Arthur James Robertson,M,Great Britain,Athletics,Gold,1
Arthur John Michael McCabe,M,Australasia,Rugby,Gold,1
Arthur Knautz,M,Germany,Handball,Gold,1
Arthur Laurence Rook,M,Great Britain,Equestrianism,Gold,1
Arthur Lewis Newton,M,New York Athletic Club,Athletics,Gold,1
Arthur Martin Stockhoff,M,Century Boat Club-1,Rowing,Gold,1
Arthur Nabarrete Zanetti,M,Brazil,Gymnastics,Gold,1
Arthur Nicolas Lindsay Wood,M,Cobweb-1,Sailing,Gold,1
"Arthur Owen ""Art"" Mollner",M,United States,Basketball,Gold,1
Arthur Rushen,M,Great Britain,Cycling,Gold,1
Arthur Russell,M,Great Britain,Athletics,Gold,1
Arthur Stanley Garton,M,Leander Club-1,Rowing,Gold,1
"Arthur Thurman ""Thur"" Borren",M,New Zealand,Hockey,Gold,1
"Arthur William Charles ""Wentworth"" Gore",M,Great Britain,Tennis,Gold,1
"Arthur William Charles ""Wentworth"" Gore",M,Great Britain-1,Tennis,Gold,1
Arthur William Wakefield,M,Great Britain,Alpinism,Gold,1
Arto Ilmari Koivisto,M,Finland,Cross Country Skiing,Gold,1
Arto Kalevi Hrknen,M,Finland,Athletics,Gold,1
Artras Kasputis,M,Soviet Union,Cycling,Gold,1
Artur Aleksanyan,M,Armenia,Wrestling,Gold,1
Artur Kamilevich Akhmatkhuzin,M,Russia,Fencing,Gold,1
Artur Sergeyevich Litvinchuk,M,Belarus,Canoeing,Gold,1
Artur Surenovych Aivazian,M,Ukraine,Shooting,Gold,1
Artur Valeryevich Dmitriyev,M,Russia-1,Figure Skating,Gold,1
Artur Valeryevich Dmitriyev,M,Unified Team-1,Figure Skating,Gold,1
Arturo J. Rodrguez Jurado,M,Argentina,Boxing,Gold,1
