,Team,Year,Medal,Medal_Count
2717,Poland,1968,Bronze,30
2718,Poland,1968,Gold,5
2719,Poland,1968,Silver,2
2720,Poland,1972,Bronze,11
2721,Poland,1972,Gold,28
2722,Poland,1972,Silver,8
2723,Poland,1976,Bronze,26
2724,Poland,1976,Gold,18
2725,Poland,1976,Silver,29
2726,Poland,1980,Bronze,22
2727,Poland,1980,Gold,3
2728,Poland,1980,Silver,25
2729,Poland,1988,Bronze,10
2730,Poland,1988,Gold,2
2731,Poland,1988,Silver,9
2732,Poland,1992,Bronze,19
2733,Poland,1992,Gold,5
2734,Poland,1992,Silver,22
2735,Poland,1996,Bronze,7
2736,Poland,1996,Gold,7
2737,Poland,1996,Silver,8
2738,Poland,2000,Bronze,7
2739,Poland,2000,Gold,7
2740,Poland,2000,Silver,8
2741,Poland,2002,Bronze,1
2742,Poland,2002,Silver,1
2743,Poland,2004,Bronze,6
2744,Poland,2004,Gold,4
2745,Poland,2004,Silver,2
2746,Poland,2006,Bronze,1
2747,Poland,2006,Silver,1
2748,Poland,2008,Bronze,1
2749,Poland,2008,Gold,6
2750,Poland,2008,Silver,13
2751,Poland,2010,Bronze,4
2752,Poland,2010,Gold,1
2753,Poland,2010,Silver,3
2754,Poland,2012,Bronze,8
2755,Poland,2012,Gold,2
2756,Poland,2012,Silver,2
2757,Poland,2014,Bronze,3
2758,Poland,2014,Gold,4
2759,Poland,2014,Silver,4
2760,Poland,2016,Bronze,10
2761,Poland,2016,Gold,3
2762,Poland,2016,Silver,3
2763,Poland-1,2000,Silver,2
2764,Polyteknisk Roklub-1,1912,Bronze,5
2765,Portugal,1924,Bronze,4
2766,Portugal,1928,Bronze,6
2767,Portugal,1936,Bronze,3
2768,Portugal,1948,Bronze,3
2769,Portugal,1976,Silver,2
2770,Portugal,1984,Bronze,2
2771,Portugal,1984,Gold,1
2772,Portugal,1988,Gold,1
2773,Portugal,1996,Bronze,2
2774,Portugal,1996,Gold,1
2775,Portugal,2000,Bronze,2
2776,Portugal,2004,Bronze,1
2777,Portugal,2004,Silver,2
2778,Portugal,2008,Gold,1
2779,Portugal,2008,Silver,1
2780,Portugal,2012,Silver,2
2781,Portugal,2016,Bronze,1
2782,Potomac Archers,1904,Gold,4
2783,Potsdam,1936,Bronze,1
2784,Puerto Rico,1948,Bronze,1
2785,Puerto Rico,1976,Bronze,1
2786,Puerto Rico,1984,Bronze,1
2787,Puerto Rico,1984,Silver,1
2788,Puerto Rico,1992,Bronze,1
2789,Puerto Rico,1996,Bronze,1
2790,Puerto Rico,2012,Bronze,1
2791,Puerto Rico,2012,Silver,1
2792,Puerto Rico,2016,Gold,1
2793,Pupilles de Neptune de Lille #2-1,1900,Bronze,8
2794,Pupilles de Neptune de Lille-1,1900,Bronze,4
2795,Qatar,1992,Bronze,1
2796,Qatar,2000,Bronze,1
2797,Qatar,2012,Bronze,2
2798,Qatar,2016,Silver,1
2799,Quand-Mme-2,1900,Silver,9
2800,Racing Club de France,1900,Silver,11
2801,Ralia,1952,Bronze,5
2802,Ravenswood Boat Club-2,1904,Silver,2
2803,Roddklubben af 1912-1,1912,Silver,5
2804,Roehampton-1,1908,Gold,4
2805,Romania,1924,Bronze,16
2806,Romania,1936,Silver,1
2807,Romania,1952,Bronze,2
2808,Romania,1952,Gold,1
2809,Romania,1952,Silver,1
2810,Romania,1956,Bronze,10
2811,Romania,1956,Gold,6
2812,Romania,1956,Silver,3
2813,Romania,1960,Bronze,11
2814,Romania,1960,Gold,3
2815,Romania,1960,Silver,1
2816,Romania,1964,Bronze,10
2817,Romania,1964,Gold,2
2818,Romania,1964,Silver,4
2819,Romania,1968,Bronze,9
2820,Romania,1968,Gold,5
2821,Romania,1968,Silver,9
2822,Romania,1972,Bronze,27
2823,Romania,1972,Gold,3
2824,Romania,1972,Silver,10
2825,Romania,1976,Bronze,23
2826,Romania,1976,Gold,4
2827,Romania,1976,Silver,28
2828,Romania,1980,Bronze,46
2829,Romania,1980,Gold,7
2830,Romania,1980,Silver,15
2831,Romania,1984,Bronze,35
2832,Romania,1984,Gold,40
2833,Romania,1984,Silver,31
2834,Romania,1988,Bronze,16
2835,Romania,1988,Gold,8
2836,Romania,1988,Silver,34
2837,Romania,1992,Bronze,14
2838,Romania,1992,Gold,8
2839,Romania,1992,Silver,31
2840,Romania,1996,Bronze,15
2841,Romania,1996,Gold,13
2842,Romania,1996,Silver,10
2843,Romania,2000,Bronze,13
2844,Romania,2000,Gold,27
2845,Romania,2000,Silver,6
2846,Romania,2004,Bronze,11
2847,Romania,2004,Gold,23
2848,Romania,2004,Silver,5
2849,Romania,2008,Bronze,16
2850,Romania,2008,Gold,5
2851,Romania,2008,Silver,1
2852,Romania,2012,Bronze,6
2853,Romania,2012,Gold,2
2854,Romania,2012,Silver,8
2855,Romania,2016,Bronze,10
2856,Romania,2016,Gold,4
2857,Romania,2016,Silver,2
2858,Romania-1,1968,Bronze,2
2859,Rose Pompon,1920,Silver,3
2860,Rostock,1936,Silver,1
2861,Rowing Club Castillon-3,1900,Bronze,3
2862,Royal Club Nautique de Gand,1900,Silver,9
2863,Royal Club Nautique de Gand,1906,Silver,3
2864,Royal Club Nautique de Gand,1908,Silver,9
2865,Rush V,1956,Gold,3
2866,Rush VII,1964,Silver,3
2867,Russia,1908,Gold,1
2868,Russia,1908,Silver,2
2869,Russia,1912,Bronze,2
2870,Russia,1912,Silver,5
2871,Russia,1994,Bronze,4
2872,Russia,1994,Gold,15
2873,Russia,1994,Silver,9
2874,Russia,1996,Bronze,34
2875,Russia,1996,Gold,36
2876,Russia,1996,Silver,45
2877,Russia,1998,Bronze,6
2878,Russia,1998,Gold,10
2879,Russia,1998,Silver,28
2880,Russia,2000,Bronze,54
2881,Russia,2000,Gold,66
2882,Russia,2000,Silver,67
2883,Russia,2002,Bronze,27
2884,Russia,2002,Gold,4
2885,Russia,2002,Silver,3
2886,Russia,2004,Bronze,95
2887,Russia,2004,Gold,48
2888,Russia,2004,Silver,46
2889,Russia,2006,Bronze,13
2890,Russia,2006,Gold,12
2891,Russia,2006,Silver,8
2892,Russia,2008,Bronze,53
2893,Russia,2008,Gold,43
2894,Russia,2008,Silver,46
2895,Russia,2010,Bronze,10
2896,Russia,2010,Gold,6
2897,Russia,2010,Silver,5
2898,Russia,2012,Bronze,49
2899,Russia,2012,Gold,50
2900,Russia,2012,Silver,39
2901,Russia,2014,Bronze,11
2902,Russia,2014,Gold,25
2903,Russia,2014,Silver,20
2904,Russia,2016,Bronze,35
2905,Russia,2016,Gold,50
2906,Russia,2016,Silver,28
2907,Russia-1,1994,Gold,4
2908,Russia-1,1998,Gold,4
2909,Russia-1,2002,Gold,2
2910,Russia-1,2002,Silver,2
2911,Russia-1,2006,Gold,4
2912,Russia-1,2006,Silver,4
2913,Russia-1,2010,Bronze,4
2914,Russia-1,2012,Bronze,2
2915,Russia-1,2014,Bronze,2
2916,Russia-1,2014,Gold,8
2917,Russia-2,1994,Silver,4
2918,Russia-2,1998,Silver,4
2919,Russia-2,2014,Silver,2
2920,Russia-2,2016,Gold,2
2921,Salinero,2008,Silver,1
2922,Sans Atout-1,1912,Silver,5
2923,Santa Maria,1932,Silver,6
2924,Sarcelle-3,1900,Bronze,3
2925,Satchmo,2008,Gold,1
2926,Saudi Arabia,2000,Bronze,1
2927,Saudi Arabia,2000,Silver,1
2928,Saudi Arabia,2012,Bronze,4
2929,Scamasaxe-2,1900,Bronze,2
2930,Scamasaxe-3,1900,Silver,2
2931,Scotia,1900,Gold,6
2932,Scotland-3,1908,Bronze,11
2933,Seawanhaka Boat Club-1,1904,Gold,2
2934,Senegal,1988,Silver,1
2935,Serbia,2008,Bronze,14
2936,Serbia,2008,Silver,1
2937,Serbia,2012,Bronze,14
2938,Serbia,2012,Gold,1
2939,Serbia,2012,Silver,1
2940,Serbia,2016,Bronze,13
2941,Serbia,2016,Gold,14
2942,Serbia,2016,Silver,27
2943,Serbia and Montenegro,1996,Bronze,13
2944,Serbia and Montenegro,1996,Gold,1
2945,Serbia and Montenegro,1996,Silver,12
2946,Serbia and Montenegro,2000,Bronze,13
2947,Serbia and Montenegro,2000,Gold,11
2948,Serbia and Montenegro,2000,Silver,1
2949,Serbia and Montenegro,2004,Silver,13
2950,Shrew II,1960,Bronze,2
2951,Sif,1920,Gold,4
2952,Sildra-1,1920,Gold,4
2953,Silja,1936,Silver,6
2954,Singapore,1960,Silver,1
2955,Singapore,2008,Silver,3
2956,Singapore,2012,Bronze,4
2957,Singapore,2016,Gold,1
2958,Sirene,1960,Gold,2
2959,Skum,1960,Silver,2
2960,Slaghoken,1948,Silver,3
2961,Slaghoken II,1956,Gold,3
2962,Slovakia,1996,Bronze,1
2963,Slovakia,1996,Gold,1
2964,Slovakia,1996,Silver,1
2965,Slovakia,2000,Bronze,1
2966,Slovakia,2000,Gold,2
2967,Slovakia,2000,Silver,3
2968,Slovakia,2004,Bronze,5
2969,Slovakia,2004,Gold,3
2970,Slovakia,2004,Silver,2
2971,Slovakia,2006,Silver,1
2972,Slovakia,2008,Bronze,1
2973,Slovakia,2008,Gold,4
2974,Slovakia,2008,Silver,5
2975,Slovakia,2010,Bronze,1
2976,Slovakia,2010,Gold,1
2977,Slovakia,2010,Silver,1
2978,Slovakia,2012,Bronze,4
2979,Slovakia,2012,Silver,1
2980,Slovakia,2014,Gold,1
2981,Slovakia,2016,Gold,3
2982,Slovakia,2016,Silver,5
2983,Slovenia,1992,Bronze,6
2984,Slovenia,1994,Bronze,3
2985,Slovenia,1996,Silver,2
2986,Slovenia,2000,Gold,3
2987,Slovenia,2002,Bronze,4
2988,Slovenia,2004,Bronze,3
2989,Slovenia,2004,Silver,2
2990,Slovenia,2008,Bronze,2
2991,Slovenia,2008,Gold,1
2992,Slovenia,2008,Silver,2
2993,Slovenia,2010,Bronze,1
2994,Slovenia,2010,Silver,2
2995,Slovenia,2012,Bronze,3
2996,Slovenia,2012,Gold,1
2997,Slovenia,2012,Silver,1
2998,Slovenia,2014,Bronze,4
2999,Slovenia,2014,Gold,2
3000,Slovenia,2014,Silver,2
3001,Slovenia,2016,Bronze,1
3002,Slovenia,2016,Gold,1
3003,Slovenia,2016,Silver,2
3004,Smyrna,1906,Silver,11
3005,Snap,1948,Bronze,3
3006,Societ Nautique de la Marne-1,1900,Silver,2
3007,Socit Nautique de Bayonne-1,1906,Bronze,3
3008,Socit Nautique de Bayonne-2,1906,Bronze,5
3009,Socit Nautique de la Basse Seine-1,1906,Bronze,3
3010,Socit Nautique de la Basse Seine-1,1906,Silver,5
3011,Sorais-2,1908,Bronze,5
3012,South Africa,1908,Gold,1
3013,South Africa,1908,Silver,1
3014,South Africa,1912,Gold,5
3015,South Africa,1912,Silver,2
3016,South Africa,1920,Bronze,6
3017,South Africa,1920,Gold,3
3018,South Africa,1920,Silver,12
3019,South Africa,1924,Bronze,1
3020,South Africa,1924,Gold,1
3021,South Africa,1924,Silver,1
3022,South Africa,1928,Bronze,5
3023,South Africa,1928,Gold,1
3024,South Africa,1932,Bronze,3
3025,South Africa,1932,Gold,2
3026,South Africa,1936,Silver,1
3027,South Africa,1948,Bronze,2
3028,South Africa,1948,Gold,2
3029,South Africa,1948,Silver,2
3030,South Africa,1952,Bronze,4
3031,South Africa,1952,Gold,2
3032,South Africa,1952,Silver,8
3033,South Africa,1956,Bronze,7
3034,South Africa,1960,Bronze,2
3035,South Africa,1960,Silver,1
3036,South Africa,1992,Silver,3
3037,South Africa,1996,Bronze,1
3038,South Africa,1996,Gold,3
3039,South Africa,1996,Silver,1
3040,South Africa,2000,Bronze,3
3041,South Africa,2000,Silver,2
3042,South Africa,2004,Bronze,3
3043,South Africa,2004,Gold,4
3044,South Africa,2004,Silver,3
3045,South Africa,2008,Silver,1
3046,South Africa,2012,Bronze,1
3047,South Africa,2012,Gold,6
3048,South Africa,2012,Silver,2
3049,South Africa,2016,Bronze,14
3050,South Africa,2016,Gold,2
3051,South Africa,2016,Silver,7
3052,South Korea,1948,Bronze,2
3053,South Korea,1952,Bronze,2
3054,South Korea,1956,Bronze,1
3055,South Korea,1956,Silver,1
3056,South Korea,1964,Bronze,1
3057,South Korea,1964,Silver,2
3058,South Korea,1968,Bronze,1
3059,South Korea,1968,Silver,1
3060,South Korea,1972,Silver,1
3061,South Korea,1976,Bronze,15
3062,South Korea,1976,Gold,1
3063,South Korea,1976,Silver,1
3064,South Korea,1984,Bronze,7
3065,South Korea,1984,Gold,6
3066,South Korea,1984,Silver,28
3067,South Korea,1988,Bronze,10
3068,South Korea,1988,Gold,28
3069,South Korea,1988,Silver,37
3070,South Korea,1992,Bronze,9
3071,South Korea,1992,Gold,29
3072,South Korea,1992,Silver,6
3073,South Korea,1994,Bronze,1
3074,South Korea,1994,Gold,7
3075,South Korea,1994,Silver,1
3076,South Korea,1996,Bronze,3
3077,South Korea,1996,Gold,8
3078,South Korea,1996,Silver,45
3079,South Korea,1998,Bronze,2
3080,South Korea,1998,Gold,6
3081,South Korea,1998,Silver,4
3082,South Korea,2000,Bronze,31
3083,South Korea,2000,Gold,12
3084,South Korea,2000,Silver,24
3085,South Korea,2002,Gold,5
3086,South Korea,2002,Silver,2
3087,South Korea,2004,Bronze,8
3088,South Korea,2004,Gold,12
3089,South Korea,2004,Silver,26
3090,South Korea,2006,Bronze,2
3091,South Korea,2006,Gold,14
3092,South Korea,2006,Silver,3
3093,South Korea,2008,Bronze,24
3094,South Korea,2008,Gold,39
3095,South Korea,2008,Silver,9
3096,South Korea,2010,Bronze,2
3097,South Korea,2010,Gold,6
3098,South Korea,2010,Silver,10
3099,South Korea,2012,Bronze,28
3100,South Korea,2012,Gold,18
3101,South Korea,2012,Silver,13
3102,South Korea,2014,Bronze,2
3103,South Korea,2014,Gold,7
3104,South Korea,2014,Silver,5
3105,South Korea,2016,Bronze,8
3106,South Korea,2016,Gold,13
3107,South Korea,2016,Silver,3
3108,South Korea-1,1992,Bronze,6
3109,South Korea-1,1992,Gold,2
3110,South Korea-1,1996,Bronze,2
3111,South Korea-1,1996,Gold,2
3112,South Korea-1,2000,Bronze,2
3113,South Korea-1,2000,Silver,2
3114,South Korea-1,2004,Bronze,2
3115,South Korea-1,2004,Silver,2
3116,South Korea-1,2008,Bronze,2
3117,South Korea-1,2008,Gold,2
3118,South Korea-1,2008,Silver,2
3119,South Korea-1,2012,Bronze,2
3120,South Korea-1,2016,Bronze,2
3121,South Korea-2,1988,Bronze,2
3122,South Korea-2,1992,Bronze,2
3123,South Korea-2,1992,Gold,2
3124,South Korea-2,1996,Bronze,2
3125,South Korea-2,1996,Silver,4
3126,South Korea-2,2000,Bronze,2
3127,South Korea-2,2004,Gold,2
3128,Soviet Union,1952,Bronze,19
3129,Soviet Union,1952,Gold,36
3130,Soviet Union,1952,Silver,62
3131,Soviet Union,1956,Bronze,61
3132,Soviet Union,1956,Gold,94
3133,Soviet Union,1956,Silver,51
3134,Soviet Union,1960,Bronze,73
3135,Soviet Union,1960,Gold,66
3136,Soviet Union,1960,Silver,70
3137,Soviet Union,1964,Bronze,60
3138,Soviet Union,1964,Gold,88
3139,Soviet Union,1964,Silver,71
3140,Soviet Union,1968,Bronze,69
3141,Soviet Union,1968,Gold,89
3142,Soviet Union,1968,Silver,67
3143,Soviet Union,1972,Bronze,63
3144,Soviet Union,1972,Gold,141
3145,Soviet Union,1972,Silver,51
3146,Soviet Union,1976,Bronze,88
3147,Soviet Union,1976,Gold,148
3148,Soviet Union,1976,Silver,100
3149,Soviet Union,1980,Bronze,131
3150,Soviet Union,1980,Gold,201
3151,Soviet Union,1980,Silver,156
3152,Soviet Union,1984,Bronze,6
3153,Soviet Union,1984,Gold,27
3154,Soviet Union,1984,Silver,11
3155,Soviet Union,1988,Bronze,107
3156,Soviet Union,1988,Gold,168
3157,Soviet Union,1988,Silver,77
3158,Soviet Union-1,1964,Gold,2
3159,Soviet Union-1,1968,Gold,2
3160,Soviet Union-1,1972,Gold,2
3161,Soviet Union-1,1976,Gold,4
3162,Soviet Union-1,1980,Gold,4
3163,Soviet Union-1,1984,Gold,2
3164,Soviet Union-1,1984,Silver,4
3165,Soviet Union-1,1988,Gold,6
3166,Soviet Union-2,1968,Silver,2
3167,Soviet Union-2,1972,Silver,2
3168,Soviet Union-2,1976,Silver,2
3169,Soviet Union-2,1980,Bronze,2
3170,Soviet Union-2,1980,Silver,2
3171,Soviet Union-2,1984,Bronze,6
3172,Soviet Union-2,1988,Bronze,4
3173,Soviet Union-2,1988,Silver,4
3174,Spain,1900,Gold,2
3175,Spain,1920,Silver,23
3176,Spain,1928,Gold,3
3177,Spain,1932,Bronze,1
3178,Spain,1948,Silver,3
3179,Spain,1952,Silver,1
3180,Spain,1960,Bronze,14
3181,Spain,1972,Bronze,1
3182,Spain,1972,Gold,1
3183,Spain,1976,Silver,6
3184,Spain,1980,Bronze,3
3185,Spain,1980,Gold,2
3186,Spain,1980,Silver,19
3187,Spain,1984,Bronze,3
3188,Spain,1984,Gold,2
3189,Spain,1984,Silver,14
3190,Spain,1988,Bronze,2
3191,Spain,1988,Gold,1
3192,Spain,1988,Silver,2
3193,Spain,1992,Bronze,3
3194,Spain,1992,Gold,48
3195,Spain,1992,Silver,19
3196,Spain,1996,Bronze,22
3197,Spain,1996,Gold,23
3198,Spain,1996,Silver,21
3199,Spain,2000,Bronze,20
3200,Spain,2000,Gold,3
3201,Spain,2000,Silver,19
3202,Spain,2004,Bronze,9
3203,Spain,2004,Gold,4
3204,Spain,2004,Silver,15
3205,Spain,2008,Bronze,16
3206,Spain,2008,Gold,7
3207,Spain,2008,Silver,45
3208,Spain,2012,Bronze,25
3209,Spain,2012,Gold,5
3210,Spain,2012,Silver,33
3211,Spain,2016,Bronze,17
3212,Spain,2016,Gold,7
3213,Spain,2016,Silver,19
3214,Spain-1,2008,Silver,2
3215,Spain-2,2004,Silver,2
3216,Spain-2,2016,Gold,2
3217,Sri Lanka,1948,Silver,1
3218,Sri Lanka,2000,Silver,1
3219,St. Louis Amateur Athletic Association,1904,Silver,12
3220,St. Louis Southwest Turnverein #1-2,1904,Silver,5
3221,St. Louis Southwest Turnverein #2-3,1904,Bronze,5
3222,St. Rose-2,1904,Bronze,12
3223,Starita,1948,Bronze,2
3224,Stella-2,1920,Bronze,3
3225,Sudan,2008,Silver,1
3226,Sunrise,2008,Silver,1
3227,Sunshine,1936,Silver,2
3228,Suriname,1988,Gold,1
3229,Suriname,1992,Bronze,1
3230,Sweden,1900,Bronze,1
3231,Sweden,1906,Bronze,14
3232,Sweden,1906,Gold,2
3233,Sweden,1906,Silver,5
3234,Sweden,1908,Bronze,18
3235,Sweden,1908,Gold,48
3236,Sweden,1908,Silver,13
3237,Sweden,1912,Bronze,20
3238,Sweden,1912,Gold,95
3239,Sweden,1912,Silver,38
3240,Sweden,1920,Bronze,64
3241,Sweden,1920,Gold,45
3242,Sweden,1920,Silver,34
3243,Sweden,1924,Bronze,43
3244,Sweden,1924,Gold,8
3245,Sweden,1924,Silver,30
3246,Sweden,1928,Bronze,17
3247,Sweden,1928,Gold,9
3248,Sweden,1928,Silver,21
3249,Sweden,1932,Bronze,10
3250,Sweden,1932,Gold,10
3251,Sweden,1932,Silver,9
3252,Sweden,1936,Bronze,18
3253,Sweden,1936,Gold,9
3254,Sweden,1936,Silver,11
3255,Sweden,1948,Bronze,28
3256,Sweden,1948,Gold,37
3257,Sweden,1948,Silver,15
3258,Sweden,1952,Bronze,43
3259,Sweden,1952,Gold,23
3260,Sweden,1952,Silver,21
3261,Sweden,1956,Bronze,15
3262,Sweden,1956,Gold,10
3263,Sweden,1956,Silver,18
3264,Sweden,1960,Bronze,5
3265,Sweden,1960,Gold,7
3266,Sweden,1960,Silver,4
3267,Sweden,1964,Bronze,7
3268,Sweden,1964,Gold,9
3269,Sweden,1964,Silver,22
3270,Sweden,1968,Bronze,7
3271,Sweden,1968,Gold,7
3272,Sweden,1968,Silver,11
3273,Sweden,1972,Bronze,10
3274,Sweden,1972,Gold,5
3275,Sweden,1972,Silver,11
3276,Sweden,1976,Bronze,2
3277,Sweden,1976,Gold,9
3278,Sweden,1976,Silver,1
3279,Sweden,1980,Bronze,29
3280,Sweden,1980,Gold,6
3281,Sweden,1980,Silver,8
3282,Sweden,1984,Bronze,34
3283,Sweden,1984,Gold,10
3284,Sweden,1984,Silver,20
3285,Sweden,1988,Bronze,34
3286,Sweden,1988,Gold,7
3287,Sweden,1988,Silver,5
3288,Sweden,1992,Bronze,13
3289,Sweden,1992,Gold,2
3290,Sweden,1992,Silver,27
3291,Sweden,1994,Gold,23
3292,Sweden,1994,Silver,1
3293,Sweden,1996,Bronze,5
3294,Sweden,1996,Gold,3
3295,Sweden,1996,Silver,23
3296,Sweden,1998,Bronze,5
3297,Sweden,1998,Silver,2
3298,Sweden,2000,Bronze,8
3299,Sweden,2000,Gold,4
3300,Sweden,2000,Silver,20
3301,Sweden,2002,Bronze,24
3302,Sweden,2002,Silver,2
3303,Sweden,2004,Bronze,2
3304,Sweden,2004,Gold,5
3305,Sweden,2004,Silver,5
3306,Sweden,2006,Bronze,8
3307,Sweden,2006,Gold,35
3308,Sweden,2006,Silver,21
3309,Sweden,2008,Bronze,2
3310,Sweden,2008,Silver,3
3311,Sweden,2010,Bronze,4
3312,Sweden,2010,Gold,11
3313,Sweden,2010,Silver,3
3314,Sweden,2012,Bronze,3
3315,Sweden,2012,Gold,2
3316,Sweden,2012,Silver,17
3317,Sweden,2014,Bronze,11
3318,Sweden,2014,Gold,8
3319,Sweden,2014,Silver,32
3320,Sweden,2016,Bronze,3
3321,Sweden,2016,Gold,2
3322,Sweden,2016,Silver,23
3323,Sweden-1,1912,Silver,2
3324,Sweden-2,1912,Silver,2
3325,Sweden-2,2008,Silver,2
3326,Sweden-3,1912,Bronze,2
3327,Swedish Star,1932,Bronze,2
3328,Swift,1948,Gold,2
3329,Switzerland,1896,Gold,1
3330,Switzerland,1896,Silver,2
3331,Switzerland,1900,Bronze,1
3332,Switzerland,1900,Gold,13
3333,Switzerland,1900,Silver,1
3334,Switzerland,1904,Bronze,2
3335,Switzerland,1904,Gold,1
3336,Switzerland,1906,Bronze,1
3337,Switzerland,1906,Gold,8
3338,Switzerland,1906,Silver,3
3339,Switzerland,1912,Gold,2
3340,Switzerland,1920,Bronze,21
3341,Switzerland,1920,Gold,6
3342,Switzerland,1920,Silver,2
3343,Switzerland,1924,Bronze,22
3344,Switzerland,1924,Gold,18
3345,Switzerland,1924,Silver,25
3346,Switzerland,1928,Bronze,16
3347,Switzerland,1928,Gold,16
3348,Switzerland,1928,Silver,10
3349,Switzerland,1932,Silver,1
3350,Switzerland,1936,Bronze,24
3351,Switzerland,1936,Gold,5
3352,Switzerland,1936,Silver,23
3353,Switzerland,1948,Bronze,25
3354,Switzerland,1948,Gold,7
3355,Switzerland,1948,Silver,28
3356,Switzerland,1952,Bronze,12
3357,Switzerland,1952,Gold,2
3358,Switzerland,1952,Silver,19
3359,Switzerland,1956,Bronze,3
3360,Switzerland,1956,Gold,2
3361,Switzerland,1956,Silver,2
3362,Switzerland,1960,Bronze,3
3363,Switzerland,1960,Gold,2
3364,Switzerland,1960,Silver,6
3365,Switzerland,1964,Bronze,1
3366,Switzerland,1964,Gold,1
3367,Switzerland,1964,Silver,4
3368,Switzerland,1968,Bronze,13
3369,Switzerland,1968,Silver,5
3370,Switzerland,1972,Bronze,5
3371,Switzerland,1972,Gold,3
3372,Switzerland,1972,Silver,11
3373,Switzerland,1976,Bronze,6
3374,Switzerland,1976,Gold,2
3375,Switzerland,1976,Silver,5
3376,Switzerland,1980,Bronze,3
3377,Switzerland,1980,Gold,2
3378,Switzerland,1984,Bronze,4
3379,Switzerland,1984,Gold,2
3380,Switzerland,1984,Silver,11
3381,Switzerland,1988,Bronze,7
3382,Switzerland,1988,Gold,4
3383,Switzerland,1988,Silver,13
3384,Switzerland,1992,Bronze,1
3385,Switzerland,1992,Gold,1
3386,Switzerland,1994,Bronze,4
3387,Switzerland,1994,Gold,2
3388,Switzerland,1994,Silver,2
3389,Switzerland,1996,Gold,5
3390,Switzerland,1996,Silver,6
3391,Switzerland,1998,Bronze,3
3392,Switzerland,1998,Gold,6
3393,Switzerland,1998,Silver,1
3394,Switzerland,2000,Bronze,2
3395,Switzerland,2000,Gold,1
3396,Switzerland,2000,Silver,11
3397,Switzerland,2002,Bronze,12
3398,Switzerland,2002,Gold,3
3399,Switzerland,2002,Silver,5
3400,Switzerland,2004,Bronze,2
3401,Switzerland,2004,Gold,1
3402,Switzerland,2004,Silver,2
3403,Switzerland,2006,Bronze,3
3404,Switzerland,2006,Gold,5
3405,Switzerland,2006,Silver,7
3406,Switzerland,2008,Bronze,7
3407,Switzerland,2008,Gold,3
3408,Switzerland,2008,Silver,1
3409,Switzerland,2010,Bronze,6
3410,Switzerland,2010,Gold,6
3411,Switzerland,2012,Gold,2
3412,Switzerland,2012,Silver,2
3413,Switzerland,2014,Bronze,20
3414,Switzerland,2014,Gold,6
3415,Switzerland,2014,Silver,2
3416,Switzerland,2016,Bronze,2
3417,Switzerland,2016,Gold,6
3418,Switzerland,2016,Silver,3
3419,Switzerland-1,1924,Gold,4
3420,Switzerland-1,1936,Silver,4
3421,Switzerland-1,1948,Silver,2
3422,Switzerland-1,1952,Bronze,6
3423,Switzerland-1,1956,Bronze,2
3424,Switzerland-1,1956,Gold,4
3425,Switzerland-1,1968,Bronze,4
3426,Switzerland-1,1972,Bronze,2
3427,Switzerland-1,1972,Gold,4
3428,Switzerland-1,1976,Bronze,2
3429,Switzerland-1,1980,Silver,4
3430,Switzerland-1,1984,Bronze,4
3431,Switzerland-1,1988,Gold,4
3432,Switzerland-1,1992,Bronze,4
3433,Switzerland-1,1992,Gold,2
3434,Switzerland-1,1994,Gold,2
3435,Switzerland-1,1994,Silver,4
3436,Switzerland-1,1998,Silver,4
3437,Switzerland-1,2002,Silver,2
3438,Switzerland-1,2006,Bronze,6
3439,Switzerland-1,2014,Silver,2
3440,Switzerland-2,1932,Silver,2
3441,Switzerland-2,1936,Gold,4
3442,Switzerland-2,1936,Silver,2
3443,Switzerland-2,1948,Gold,2
3444,Switzerland-2,1976,Silver,4
3445,Switzerland-2,1980,Gold,2
3446,Switzerland-2,1994,Silver,2
3447,Switzerland-2,2002,Bronze,2
3448,Switzerland-2,2004,Bronze,2
3449,Sylvia,1928,Bronze,6
3450,Symphony,1948,Silver,2
3451,Syria,1984,Silver,1
3452,Syria,1996,Gold,1
3453,Syria,2004,Bronze,1
3454,Taifun,1912,Gold,5
3455,Tajikistan,2008,Bronze,1
3456,Tajikistan,2008,Silver,1
3457,Tajikistan,2012,Bronze,1
3458,Tajikistan,2016,Gold,1
3459,Tan-Fe-Pah,1920,Silver,3
3460,Tango,1960,Silver,3
3461,Tanzania,1980,Silver,2
3462,Thailand,1976,Bronze,1
3463,Thailand,1984,Silver,1
3464,Thailand,1988,Bronze,1
3465,Thailand,1992,Bronze,1
3466,Thailand,1996,Bronze,1
3467,Thailand,1996,Gold,1
3468,Thailand,2000,Bronze,2
3469,Thailand,2000,Gold,1
3470,Thailand,2004,Bronze,4
3471,Thailand,2004,Gold,3
3472,Thailand,2004,Silver,1
3473,Thailand,2008,Gold,2
3474,Thailand,2008,Silver,2
3475,Thailand,2012,Bronze,1
3476,Thailand,2012,Silver,2
3477,Thailand,2016,Bronze,2
3478,Thailand,2016,Gold,2
3479,Thailand,2016,Silver,2
3480,Thames Rowing Club,1912,Silver,5
3481,Thessalonki-1,1906,Bronze,11
3482,Tip,1956,Silver,3
3483,Togo,2008,Bronze,1
3484,Tonga,1996,Silver,1
3485,Tornado,1952,Silver,3
3486,Tornado,1960,Gold,2
3487,Toronto Argonauts,1904,Silver,9
