,Name,Sex,Team,Sport,Medal,Medal_Count
90,Agneta Monica Andersson,F,Sweden,Canoeing,Bronze,2
91,Agnete Synnve Carlsen,F,Norway,Football,Bronze,1
92,Agnieszka Ewa Czopek (-Sadowska),F,Poland,Swimming,Bronze,1
93,Agnieszka Jadwiga Wieszczek-Kordus,F,Poland,Wrestling,Bronze,1
94,Agnieszka Kobus,F,Poland,Rowing,Bronze,1
95,"Agustina Soledad ""Sole"" Garca",F,Argentina,Hockey,Bronze,2
96,Agustn Zaragoza Reyna,M,Mexico,Boxing,Bronze,1
97,Ahmed Ismail El Shamy,M,Egypt,Boxing,Bronze,1
98,Ahmed Salah Houssein,M,Djibouti,Athletics,Bronze,1
99,Ahmet Kirei (Mersinli-),M,Turkey,Wrestling,Bronze,1
100,Ai Fukuhara,F,Japan,Table Tennis,Bronze,1
101,Ai Otomo-Yamamoto,F,Japan,Volleyball,Bronze,1
102,Aika Hakoyama,F,Japan,Synchronized Swimming,Bronze,1
103,Aileen Aletha Meagher,F,Canada,Athletics,Bronze,1
104,Aileen Muriel Riggin (-Soule),F,United States,Swimming,Bronze,1
105,Aimo-Rhys Heilmann,M,Germany,Swimming,Bronze,1
106,"Aina Berg (-Brolin, -Heinze)",F,Sweden,Swimming,Bronze,2
107,Aino-Kaisa Saarinen,F,Finland,Cross Country Skiing,Bronze,3
108,Aitor Iaki Etxaburu Castro,M,Spain,Handball,Bronze,1
109,Aja L. Evans,F,United States-2,Bobsleigh,Bronze,1
110,Ajitpal Singh Kular,M,India,Hockey,Bronze,2
111,Ak'ak'i Chachua,M,Georgia,Wrestling,Bronze,1
112,Akeem Haynes,M,Canada,Athletics,Bronze,1
113,Akhtar Rasool Kamboh,M,Pakistan,Hockey,Bronze,1
114,Aki Takayama,F,Japan,Synchronized Swimming,Bronze,1
115,Aki Tapani Karvonen,M,Finland,Cross Country Skiing,Bronze,2
116,"Aki-Petteri Arvid ""Aki"" Berg",M,Finland,Ice Hockey,Bronze,1
117,Akihiro Togo,M,Japan,Baseball,Bronze,1
118,Akiko Kawase,F,Japan,Synchronized Swimming,Bronze,1
119,Akinobu Osako,M,Japan,Judo,Bronze,1
120,Akinori Nakayama,M,Japan,Gymnastics,Bronze,2
121,Akira Kudo,M,Japan,Wrestling,Bronze,1
122,Akira Kuroiwa,M,Japan,Speed Skating,Bronze,1
123,Aksel Henry Hansen,M,Norway,Gymnastics,Bronze,1
124,Aksel Lund Svindal,M,Norway,Alpine Skiing,Bronze,1
125,Akzhurek Dostykovich Tanatarov,M,Kazakhstan,Wrestling,Bronze,1
126,Al-Tahar Al-Tamsamani,M,Morocco,Boxing,Bronze,1
127,Aladr Gerevich (-Gerei),M,Hungary,Fencing,Bronze,2
128,Alain Andr Louis Edmond Bernard,M,France,Swimming,Bronze,1
129,Alain Herms Robert Mosconi,M,France,Swimming,Bronze,1
130,Alain Moineau,M,France,Cycling,Bronze,1
131,Alain Portes,M,France,Handball,Bronze,1
132,Alajos (Aljoz) Szokoly (-Szokol),M,Hungary,Athletics,Bronze,1
133,"Alan ""Al"" Greene",M,United States,Diving,Bronze,1
134,Alan Campbell,M,Great Britain,Rowing,Bronze,1
135,Alan McClatchey,M,Great Britain,Swimming,Bronze,1
136,Alan Minter,M,Great Britain,Boxing,Bronze,1
137,Alan Newton,M,Great Britain,Cycling,Bronze,1
138,Alan Wharmby Jackson,M,Great Britain,Cycling,Bronze,1
139,Alanna Kraus (-Handley),F,Canada,Short Track Speed Skating,Bronze,1
140,Alba Mara Cabello Rodilla,F,Spain,Synchronized Swimming,Bronze,1
141,"Albert ""Al"" Rossi",M,United States,Rowing,Bronze,1
142,"Albert ""Al"" Taylor",M,Canada,Rowing,Bronze,1
143,"Albert ""Albie"" Axelrod",M,United States,Fencing,Bronze,1
144,Albert Aleksandrovich Pakeyev,M,Russia,Boxing,Bronze,1
145,Albert Andreyevich Mokeyev,M,Soviet Union,Modern Pentathlon,Bronze,1
146,Albert Bachmann,M,Switzerland,Gymnastics,Bronze,1
147,Albert Casteleyns,M,Belgium,Water Polo,Bronze,1
148,"Albert Conrad ""Al"" Zirkel",M,United States,Wrestling,Bronze,1
149,Albert Courquin,M,France,Shooting,Bronze,1
150,Albert De Bunn,M,Belgium,Cycling,Bronze,1
151,Albert Delbecque,M,Univ. of Brussels,Football,Bronze,1
152,Albert Dsir Vandeplancke,M,France,Water Polo,Bronze,1
153,Albert Duval,M,Martha-1,Sailing,Bronze,1
154,Albert Eduard Kusnets,M,Estonia,Wrestling,Bronze,1
155,Albert Edward Betts,M,Great Britain,Gymnastics,Bronze,1
156,Albert Frits Ruimschotel,M,Netherlands,Water Polo,Bronze,1
157,Albert Geromini,M,Switzerland,Ice Hockey,Bronze,1
158,Albert Giger,M,Switzerland,Cross Country Skiing,Bronze,1
159,Albert Helgerud (Thorvaldsen-),M,Norway,Shooting,Bronze,1
160,Albert Jean Martin Grisar,M,Antwerpia V,Sailing,Bronze,1
161,Albert Joseph Kempster,M,Great Britain,Shooting,Bronze,2
162,Albert L. Schwartz,M,United States,Swimming,Bronze,1
163,Albert Madrin,M,Switzerland-1,Bobsleigh,Bronze,1
164,Albert Marius Thvenon,M,France,Water Polo,Bronze,1
165,Albert Michael Krushel,M,United States,Cycling,Bronze,1
166,Albert Pascal Fauvel,M,France,Archery,Bronze,1
