,Team,Medal,Medal_Count
207,Elisabeth V,Gold,3
208,Elisabeth X,Silver,5
209,Elsie,Silver,4
210,Elvis Va,Gold,1
211,Emily,Silver,5
212,Encore,Silver,3
213,England,Silver,1
214,England-1,Gold,11
215,England-1,Silver,12
216,Eritrea,Bronze,1
217,Erna Signe,Silver,10
218,Espadarte,Bronze,2
219,Esterel-1,Gold,2
220,Estonia,Bronze,20
221,Estonia,Gold,13
222,Estonia,Silver,12
223,Ethiopia,Bronze,22
224,Ethiopia,Gold,22
225,Ethiopia,Silver,9
226,Ethnikos Gymnastikos Syllogos,Bronze,2
227,Falcon IV,Silver,2
228,Fantlet-7,Gold,1
229,Favorite Hammonia-3,Bronze,6
230,Favorite-1,Silver,8
231,Femur-1,Gold,1
232,Fiji,Gold,13
233,Finland,Bronze,415
234,Finland,Gold,198
235,Finland,Silver,263
236,Formosa,Bronze,1
237,Fornebo,Silver,4
238,Foxhunters Hurlingham,Gold,5
239,France,Bronze,577
240,France,Gold,455
241,France,Silver,518
242,France-1,Bronze,11
243,France-1,Gold,4
244,France-1,Silver,7
245,France-2,Bronze,4
246,France-3,Bronze,2
247,France-3,Gold,2
248,France/Great Britain,Silver,2
249,Frankfurt Club,Silver,15
250,Frimousse,Bronze,1
251,Gabon,Silver,1
252,Gallant,Silver,5
253,Gallia II,Bronze,7
254,Galt Football Club,Gold,13
255,Gem,Gold,2
256,Gem IV,Bronze,2
257,Georgia,Bronze,18
258,Georgia,Gold,8
259,Georgia,Silver,6
260,Germania II,Bronze,6
261,"Germania Ruder Club, Hamburg-2",Gold,5
262,Germany,Bronze,678
263,Germany,Gold,679
264,Germany,Silver,627
265,Germany-1,Bronze,22
266,Germany-1,Gold,28
267,Germany-1,Silver,20
268,Germany-2,Bronze,11
269,Germany-2,Gold,14
270,Germany-2,Silver,4
271,Ghana,Bronze,22
272,Ghana,Silver,1
273,Gitana-2,Bronze,5
274,Gitana-2,Silver,5
275,Glider,Silver,2
276,Great Britain,Bronze,572
277,Great Britain,Gold,519
278,Great Britain,Silver,582
279,Great Britain-1,Bronze,4
280,Great Britain-1,Gold,20
281,Great Britain-1,Silver,10
282,Great Britain-2,Bronze,14
283,Great Britain-2,Gold,4
284,Great Britain-2,Silver,10
285,Great Britain-3,Bronze,4
286,Great Britain-3,Silver,2
287,Great Britain/Germany,Gold,2
288,Greece,Bronze,62
289,Greece,Gold,42
290,Greece,Silver,70
291,Greece-1,Silver,6
292,Greece-2,Bronze,2
293,Grenada,Gold,1
294,Grenada,Silver,1
295,Guatemala,Silver,1
296,Gustel X,Bronze,3
297,Guyana,Bronze,1
298,Guyoni,Bronze,3
299,Gwendoline-2,Bronze,3
300,Gyrinus-1,Gold,6
301,Haiti,Bronze,5
302,Haiti,Silver,1
303,Heatherbell,Bronze,7
304,Heira II,Gold,9
305,Hera-1,Gold,10
306,Heroine,Gold,4
307,Hi-Hi,Silver,4
308,Hilarius,Gold,2
309,Hojwa,Bronze,3
310,Hollandia,Silver,6
311,Hong Kong,Bronze,1
312,Hong Kong,Gold,1
313,Hong Kong-2,Silver,2
314,Humbug V,Bronze,2
315,Hungary,Bronze,365
316,Hungary,Gold,432
317,Hungary,Silver,330
318,Hungary-1,Bronze,6
319,Hungary-1,Silver,2
320,Hurlingham-2,Silver,4
321,Iceland,Bronze,2
322,Iceland,Silver,15
323,Independent Rowing Club-3,Bronze,2
324,India,Bronze,40
325,India,Gold,138
326,India,Silver,19
327,Individual Olympic Athletes,Bronze,3
328,Individual Olympic Athletes,Gold,1
329,Individual Olympic Athletes,Silver,1
330,Indonesia,Bronze,9
331,Indonesia,Gold,7
332,Indonesia,Silver,11
333,Indonesia-1,Bronze,4
334,Indonesia-1,Gold,4
335,Indonesia-1,Silver,6
336,Iran,Bronze,29
337,Iran,Gold,18
338,Iran,Silver,21
339,Iraq,Bronze,1
340,Ireland,Bronze,13
341,Ireland,Gold,9
342,Ireland,Silver,13
343,Ireland-2,Silver,12
344,Ireland-3,Silver,4
345,Irene,Gold,5
346,Israel,Bronze,7
347,Israel,Gold,1
348,Israel,Silver,1
349,Italia,Gold,6
350,Italy,Bronze,484
351,Italy,Gold,535
352,Italy,Silver,508
353,Italy-1,Bronze,14
354,Italy-1,Gold,14
355,Italy-1,Silver,8
356,Italy-2,Bronze,4
357,Italy-2,Silver,10
358,Jamaica,Bronze,44
359,Jamaica,Gold,38
360,Jamaica,Silver,75
361,Japan,Bronze,357
362,Japan,Gold,247
363,Japan,Silver,307
364,Japan-1,Silver,2
365,Jest,Gold,2
366,Jo,Gold,3
367,Jordan,Gold,1
368,Joy,Silver,2
369,Jupiter,Gold,2
370,K Division Metropolitan Police Team-3,Bronze,8
371,Kathleen,Gold,2
372,Kazakhstan,Bronze,32
373,Kazakhstan,Gold,20
374,Kazakhstan,Silver,25
375,Kenya,Bronze,31
376,Kenya,Gold,34
377,Kenya,Silver,41
378,Kerstin-1,Bronze,3
379,Kitty-1,Gold,8
380,Kosovo,Gold,1
381,Kristiania Roklub-1,Bronze,5
382,Kullan,Gold,3
383,Kurush II,Silver,2
384,Kuwait,Bronze,2
385,Kyrgyzstan,Bronze,2
386,Kyrgyzstan,Silver,1
387,L'Aile VI,Gold,6
388,Lady C,Silver,2
389,Lalage,Gold,5
390,"Large boat, Central Naval Prep School ""Poros""-1",Gold,17
391,Latvia,Bronze,9
392,Latvia,Gold,3
393,Latvia,Silver,13
394,Latvia-1,Bronze,4
395,Latvia-1,Silver,6
396,Laurea-1,Bronze,1
397,Leander Club #1-1,Gold,2
398,Leander Club #2-2,Silver,2
399,Leander Club-1,Gold,18
400,Leander Club-2,Silver,4
401,Lebanon,Bronze,2
402,Lebanon,Silver,2
403,Lerina,Gold,3
404,Lerina,Silver,3
405,Libellule de Paris,Bronze,7
406,Liechtenstein,Bronze,5
407,Liechtenstein,Gold,2
408,Liechtenstein,Silver,2
409,"Life boat naval ship ""Spetsai""-1",Silver,7
410,Lithuania,Bronze,48
411,Lithuania,Gold,6
412,Lithuania,Silver,7
413,Liverpool Police Team-2,Silver,8
414,Llanoria,Gold,11
415,London City Police-1,Gold,8
416,Lucky Girl-1,Bronze,5
417,Ludwigshafener Ruder Verein-1,Bronze,5
418,Ludwigshafener Ruderverein,Gold,5
419,Lully II,Silver,5
420,Luxembourg,Gold,4
421,Luxembourg,Silver,4
422,Lyn-2,Silver,5
423,Ma'Lindo,Silver,2
424,Mac Miche,Gold,3
425,Macedonia,Bronze,1
426,Macky VI,Bronze,3
427,Magda IX,Gold,10
428,Magdalen College Boat Club-1,Gold,4
429,Malaysia,Bronze,3
430,Malaysia,Silver,9
431,Malaysia-1,Silver,2
432,Malaysia-2,Bronze,2
433,Margaret,Bronze,2
434,"Marinai della nave da guerra ""Varese""",Bronze,17
435,"Marinai della nave da guerra ""Varese""",Gold,7
436,Marmi II-1,Silver,3
437,Martha-1,Bronze,4
438,Martha-1,Silver,4
439,Mascotte,Silver,3
440,Mauritius,Bronze,1
441,May Be,Bronze,5
442,Merope,Gold,2
443,Merope III,Silver,2
444,Mexico,Bronze,51
445,Mexico,Gold,30
446,Mexico,Silver,26
447,Mignon-3,Bronze,1
448,Milwaukee Athletic Club-1,Gold,5
449,Minerva Amsterdam,Bronze,9
450,Minerva Amsterdam,Gold,3
451,Minerva Amsterdam,Silver,5
452,Minotaur,Gold,3
453,Missouri Athletic Club-3,Bronze,11
454,Mohawk Indians-2,Bronze,12
455,Moldova,Bronze,5
456,Moldova,Silver,3
457,Monaco,Bronze,1
458,Mongolia,Bronze,14
459,Mongolia,Gold,2
460,Mongolia,Silver,10
461,Montenegro,Silver,14
462,Morocco,Bronze,12
463,Morocco,Gold,6
464,Morocco,Silver,5
465,Moseley Wanderers,Silver,15
466,Mosk II,Gold,7
467,Mouchette-2,Silver,10
468,Mound City Rowing Club-2,Silver,4
469,Mozambique,Bronze,1
470,Mozambique,Gold,1
471,Mutafo,Silver,3
472,Nadine,Silver,1
473,Namibia,Silver,4
474,Namoussa,Bronze,5
475,Nepal,Gold,1
476,Netherlands,Bronze,390
477,Netherlands,Gold,277
478,Netherlands,Silver,321
479,Netherlands Antilles,Silver,1
480,Netherlands-1,Bronze,2
481,"New College, Oxford-2",Silver,9
482,New York Athletic Club,Gold,5
483,New York Athletic Club #1-1,Gold,4
484,New York Athletic Club-1,Gold,7
485,"New York Turnverein, New York",Silver,6
486,New Zealand,Bronze,82
487,New Zealand,Gold,85
488,New Zealand,Silver,56
489,Niger,Bronze,1
490,Niger,Silver,1
491,Nigeria,Bronze,46
492,Nigeria,Gold,23
493,Nigeria,Silver,30
494,Nina,Silver,7
495,Nina Claire-2,Bronze,4
496,Nirefs,Gold,3
497,Norna,Gold,4
498,North Korea,Bronze,33
499,North Korea,Gold,16
500,North Korea,Silver,16
501,North Korea-1,Bronze,2
502,Norway,Bronze,281
503,Norway,Gold,299
504,Norway,Silver,330
505,Nrnberg,Gold,1
506,Nurdug II,Silver,3
507,Nykjbings paa Falster,Gold,5
508,Olle,Gold,6
509,Omas Helliniki P. S.,Silver,8
510,Oranje,Gold,3
511,Ormsund Roklub-2,Bronze,5
512,"Osborne Swimming Club, Manchester",Gold,7
513,Pakistan,Bronze,34
514,Pakistan,Gold,42
515,Pakistan,Silver,45
516,Pan,Gold,6
517,Panama,Bronze,2
518,Panama,Gold,1
519,Pandora,Gold,2
520,Paraguay,Silver,17
521,Peru,Gold,1
522,Peru,Silver,14
523,"Phalainis ton Thorichtou ""Hydra""-2",Bronze,7
524,"Phalainis ton Thorichtou ""Hydra""-2",Silver,17
525,"Philadelphia Turngemeinde, Philadelphia",Gold,6
526,Philippines,Bronze,7
527,Philippines,Silver,3
528,Pistoja/Firenze,Bronze,9
529,Poland,Bronze,253
530,Poland,Gold,117
531,Poland,Silver,193
532,Poland-1,Silver,2
533,Polyteknisk Roklub-1,Bronze,5
534,Portugal,Bronze,24
535,Portugal,Gold,4
536,Portugal,Silver,7
537,Potomac Archers,Gold,4
538,Potsdam,Bronze,1
539,Puerto Rico,Bronze,6
540,Puerto Rico,Gold,1
541,Puerto Rico,Silver,2
542,Pupilles de Neptune de Lille #2-1,Bronze,8
543,Pupilles de Neptune de Lille-1,Bronze,4
544,Qatar,Bronze,4
545,Qatar,Silver,1
546,Quand-Mme-2,Silver,9
547,Racing Club de France,Silver,11
548,Ralia,Bronze,5
549,Ravenswood Boat Club-2,Silver,2
550,Roddklubben af 1912-1,Silver,5
551,Roehampton-1,Gold,4
552,Romania,Bronze,290
553,Romania,Gold,161
554,Romania,Silver,200
555,Romania-1,Bronze,2
556,Rose Pompon,Silver,3
557,Rostock,Silver,1
558,Rowing Club Castillon-3,Bronze,3
559,Royal Club Nautique de Gand,Silver,21
560,Rush V,Gold,3
561,Rush VII,Silver,3
562,Russia,Bronze,393
563,Russia,Gold,366
564,Russia,Silver,351
565,Russia-1,Bronze,8
566,Russia-1,Gold,22
567,Russia-1,Silver,6
568,Russia-2,Gold,2
569,Russia-2,Silver,10
570,Salinero,Silver,1
571,Sans Atout-1,Silver,5
572,Santa Maria,Silver,6
573,Sarcelle-3,Bronze,3
574,Satchmo,Gold,1
575,Saudi Arabia,Bronze,5
576,Saudi Arabia,Silver,1
577,Scamasaxe-2,Bronze,2
578,Scamasaxe-3,Silver,2
579,Scotia,Gold,6
580,Scotland-3,Bronze,11
581,Seawanhaka Boat Club-1,Gold,2
582,Senegal,Silver,1
583,Serbia,Bronze,41
584,Serbia,Gold,15
585,Serbia,Silver,29
586,Serbia and Montenegro,Bronze,26
587,Serbia and Montenegro,Gold,12
588,Serbia and Montenegro,Silver,26
589,Shrew II,Bronze,2
590,Sif,Gold,4
591,Sildra-1,Gold,4
592,Silja,Silver,6
593,Singapore,Bronze,4
594,Singapore,Gold,1
595,Singapore,Silver,4
596,Sirene,Gold,2
597,Skum,Silver,2
598,Slaghoken,Silver,3
599,Slaghoken II,Gold,3
600,Slovakia,Bronze,13
601,Slovakia,Gold,15
602,Slovakia,Silver,19
603,Slovenia,Bronze,27
604,Slovenia,Gold,8
605,Slovenia,Silver,13
606,Smyrna,Silver,11
607,Snap,Bronze,3
608,Societ Nautique de la Marne-1,Silver,2
609,Socit Nautique de Bayonne-1,Bronze,3
610,Socit Nautique de Bayonne-2,Bronze,5
611,Socit Nautique de la Basse Seine-1,Bronze,3
612,Socit Nautique de la Basse Seine-1,Silver,5
613,Sorais-2,Bronze,5
614,South Africa,Bronze,52
615,South Africa,Gold,32
616,South Africa,Silver,47
617,South Korea,Bronze,159
618,South Korea,Gold,211
619,South Korea,Silver,222
620,South Korea-1,Bronze,18
621,South Korea-1,Gold,6
622,South Korea-1,Silver,6
623,South Korea-2,Bronze,8
624,South Korea-2,Gold,4
625,South Korea-2,Silver,4
626,Soviet Union,Bronze,677
627,Soviet Union,Gold,1058
628,Soviet Union,Silver,716
629,Soviet Union-1,Gold,22
630,Soviet Union-1,Silver,4
631,Soviet Union-2,Bronze,12
632,Soviet Union-2,Silver,12
633,Spain,Bronze,136
634,Spain,Gold,108
635,Spain,Silver,239
636,Spain-1,Silver,2
637,Spain-2,Gold,2
638,Spain-2,Silver,2
639,Sri Lanka,Silver,2
640,St. Louis Amateur Athletic Association,Silver,12
641,St. Louis Southwest Turnverein #1-2,Silver,5
642,St. Louis Southwest Turnverein #2-3,Bronze,5
643,St. Rose-2,Bronze,12
644,Starita,Bronze,2
645,Stella-2,Bronze,3
646,Sudan,Silver,1
647,Sunrise,Silver,1
648,Sunshine,Silver,2
649,Suriname,Bronze,1
650,Suriname,Gold,1
651,Sweden,Bronze,507
652,Sweden,Gold,451
653,Sweden,Silver,476
654,Sweden-1,Silver,2
655,Sweden-2,Silver,4
656,Sweden-3,Bronze,2
657,Swedish Star,Bronze,2
658,Swift,Gold,2
659,Switzerland,Bronze,231
660,Switzerland,Gold,144
661,Switzerland,Silver,213
662,Switzerland-1,Bronze,30
663,Switzerland-1,Gold,20
664,Switzerland-1,Silver,22
665,Switzerland-2,Bronze,4
666,Switzerland-2,Gold,8
667,Switzerland-2,Silver,10
668,Sylvia,Bronze,6
669,Symphony,Silver,2
670,Syria,Bronze,1
671,Syria,Gold,1
672,Syria,Silver,1
673,Taifun,Gold,5
674,Tajikistan,Bronze,2
675,Tajikistan,Gold,1
676,Tajikistan,Silver,1
677,Tan-Fe-Pah,Silver,3
678,Tango,Silver,3
679,Tanzania,Silver,2
680,Thailand,Bronze,13
681,Thailand,Gold,9
682,Thailand,Silver,8
683,Thames Rowing Club,Silver,5
684,Thessalonki-1,Bronze,11
685,Tip,Silver,3
686,Togo,Bronze,1
687,Tonga,Silver,1
688,Tornado,Gold,2
689,Tornado,Silver,3
690,Toronto Argonauts,Bronze,9
691,Toronto Argonauts,Silver,9
692,Trans-Mississippi Golf Association-2,Silver,10
693,Trinidad and Tobago,Bronze,17
694,Trinidad and Tobago,Gold,7
695,Trinidad and Tobago,Silver,8
696,Tritons Lillois-2,Silver,5
697,Tunisia,Bronze,7
698,Tunisia,Gold,3
699,Tunisia,Silver,3
700,Turkey,Bronze,28
701,Turkey,Gold,40
702,Turkey,Silver,27
703,Turquoise-1,Bronze,1
704,Tutti V,Bronze,5
705,USFSA,Silver,13
706,Uganda,Bronze,2
707,Uganda,Gold,2
708,Uganda,Silver,3
709,Ukraine,Bronze,98
710,Ukraine,Gold,47
711,Ukraine,Silver,52
712,Ukraine-1,Bronze,2
713,Unified Team,Bronze,79
714,Unified Team,Gold,123
715,Unified Team,Silver,69
716,Unified Team-1,Gold,4
717,Unified Team-2,Bronze,2
718,Unified Team-2,Silver,2
719,Union des Socits Franais de Sports Athletiques,Gold,17
720,Union des Socits Franais de Sports Athletiques,Silver,12
721,United Arab Emirates,Bronze,1
722,United Arab Emirates,Gold,1
723,United Arab Republic,Bronze,1
724,United Arab Republic,Silver,1
725,United States,Bronze,1233
726,United States,Gold,2474
727,United States,Silver,1512
728,United States Golf Association-3,Bronze,10
729,United States Virgin Islands,Silver,1
730,United States-1,Bronze,30
731,United States-1,Gold,38
732,United States-1,Silver,33
733,United States-2,Bronze,20
734,United States-2,Gold,17
735,United States-2,Silver,14
736,United States-3,Bronze,2
737,United States-4,Bronze,2
738,United States/France,Silver,2
739,United States/Great Britain,Bronze,2
740,Univ. of Brussels,Bronze,11
741,Upton Park FC,Gold,11
742,Uruguay,Bronze,30
743,Uruguay,Gold,31
744,Uruguay,Silver,2
