,Name,Sex,Team,Sport,Medal,Medal_Count
1116,Belinda Rose Snell,F,Australia,Basketball,Silver,2
1117,Ben Cureton,M,Australia,Rowing,Silver,1
1118,Ben Wigmore,M,Australia,Baseball,Silver,1
1119,Bence Szab,M,Hungary,Fencing,Silver,2
1120,Bengt Christer Wallin,M,Sweden,Swimming,Silver,2
1121,Bengt Helge Ljungquist,M,Sweden,Fencing,Silver,1
1122,Bengt Heyman,M,Sans Atout-1,Sailing,Silver,1
1123,Beniamino Bonomi,M,Italy,Canoeing,Silver,3
1124,"Benjamin ""Ben"" Jones",M,Great Britain,Cycling,Silver,1
1125,"Benjamin ""Ben"" Spradley",M,United States,Boxing,Silver,1
1126,"Benjamin Alexandro ""Ben"" Agosto",M,United States-1,Figure Skating,Silver,1
1127,"Benjamin Bangs ""Ben"" Eastman",M,United States,Athletics,Silver,1
1128,Benjamin Basil Heatley,M,Great Britain,Athletics,Silver,1
1129,Benjamin Gabriel Jean Varonian,M,France,Gymnastics,Silver,1
1130,"Benjamin John ""Ben"" Fouhy",M,New Zealand,Canoeing,Silver,1
1131,Benjamin Kipkurgat Arap Kogo,M,Kenya,Athletics,Silver,1
1132,"Benjamin Lee ""Ben"" Peterson",M,United States,Wrestling,Silver,1
1133,Benjamin Martin Karl,M,Austria,Snowboarding,Silver,1
1134,Benjamin Ren Pierre Darbelet,M,France,Judo,Silver,1
1135,"Benjamin Van Doren ""Ben"" Hedges, Jr.",M,United States,Athletics,Silver,1
1136,"Benjamin Wabura ""Ben"" Jipcho",M,Kenya,Athletics,Silver,1
1137,"Benjamin Willard ""Ben"" Adams",M,United States,Athletics,Silver,1
1138,Benno Wiss,M,Switzerland,Cycling,Silver,1
1139,Benny Leo Nielsen,M,Denmark,Swimming,Silver,1
1140,Bent Hansen,M,Denmark,Football,Silver,1
1141,Bente Skari-Martinsen,F,Norway,Cross Country Skiing,Silver,2
1142,Berit Digre (-Nord),F,Norway,Handball,Silver,1
1143,Berit Kristine Aunli-Kvello,F,Norway,Cross Country Skiing,Silver,1
1144,Berit Mrdre-Lammedal,F,Norway,Cross Country Skiing,Silver,1
1145,Berith Agneta Eriksson,F,Sweden,Swimming,Silver,1
1146,Bernard Alexandre Georges Edmond de Pourtals,M,Lerina,Sailing,Silver,1
1147,Bernard Brgeon,M,France,Canoeing,Silver,1
1148,Bernard Dunand,M,Switzerland,Sailing,Silver,1
1149,Bernard Jules Robert Schmetz,M,France,Fencing,Silver,1
1150,Bernard Kipchirchir Lagat,M,Kenya,Athletics,Silver,1
1151,"Bernard Patrick ""Pat"" Costello, Jr.",M,United States,Rowing,Silver,1
1152,Bernard Paul Arthur Baudoux,M,France,Fencing,Silver,1
1153,Bernard Rajzman,M,Brazil,Volleyball,Silver,1
1154,"Bernard Rollen Williams, III",M,United States,Athletics,Silver,1
1155,Bernard Vukas,M,Yugoslavia,Football,Silver,2
1156,"Bernardo ""Bernardinho"" Rocha de Rezende",M,Brazil,Volleyball,Silver,1
1157,"Bernardo ""Berni"" Rodrguez Arias",M,Spain,Basketball,Silver,1
1158,Bernardo Jos Piango Figuera,M,Venezuela,Boxing,Silver,1
1159,"Bernardus Petrus ""Bernard"" Leene",M,Netherlands,Cycling,Silver,1
1160,Bernd Barleben,M,Germany,Cycling,Silver,1
1161,Bernd Drogan,M,East Germany,Cycling,Silver,1
1162,Bernd Grne,M,West Germany,Cycling,Silver,1
1163,Bernd Hartstein,M,East Germany,Shooting,Silver,1
1164,Bernd Jakubowski,M,East Germany,Football,Silver,1
1165,Bernd Olbricht,M,East Germany,Canoeing,Silver,1
1166,Berndt-Otto Viktor Olof R. Rehbinder,M,Sweden,Fencing,Silver,1
1167,"Bernhard ""Berni"" Schulze",M,Germany,Canoeing,Silver,1
1168,Bernhard Baier,M,Germany,Water Polo,Silver,1
1169,Bernhard Germeshausen,M,East Germany-2,Bobsleigh,Silver,1
1170,Bernhard Gstrein,M,Austria,Alpine Skiing,Silver,1
1171,Bernhard Lehmann,M,East Germany-1,Bobsleigh,Silver,1
1172,Bernhard Lehmann,M,East Germany-2,Bobsleigh,Silver,1
1173,Bernhard Russi,M,Switzerland,Alpine Skiing,Silver,1
1174,Bernice Jane Orwig,F,United States,Water Polo,Silver,1
1175,Bernt Assar Rnnlund,M,Sweden,Cross Country Skiing,Silver,2
1176,Bernt Sverre Evensen,M,Norway,Speed Skating,Silver,2
1177,Bert-Ola Nordlander,M,Sweden,Ice Hockey,Silver,1
1178,Berta Hrub,F,Czechoslovakia,Hockey,Silver,1
1179,Bertalan Hajts,M,Hungary,Judo,Silver,1
1180,"Bertha ""Puck"" Brouwer (-van Duyne)",F,Netherlands,Athletics,Silver,1
1181,"Bertie ""Bert"" Solomon",M,Cornwall,Rugby,Silver,1
1182,Bertil Edvard Gransson,M,Sweden,Rowing,Silver,1
1183,"Bertland ""Bert"" Cameron",M,Jamaica,Athletics,Silver,1
1184,"Bertram Hector ""Bert"" Macdonald",M,Great Britain,Athletics,Silver,1
1185,Bertrand Benot Marie Vecten,M,France,Rowing,Silver,1
1186,Besik Serodinovich Kudukhov,M,Russia,Wrestling,Silver,1
1187,Beta Siti,F,Hungary,Handball,Silver,1
1188,Betsy Baxter Snite (-Riley),F,United States,Alpine Skiing,Silver,1
1189,Bettina Schmidt (-Neumann),F,East Germany,Luge,Silver,1
1190,Bettina Ustrowski,F,Germany,Swimming,Silver,1
1191,Betty Lindsay McKinnon,F,Australia,Athletics,Silver,1
1192,Bevan John Docherty,M,New Zealand,Triathlon,Silver,1
1193,Beverly McDonald (-Stewart),F,Jamaica,Athletics,Silver,1
1194,Bevil Gordon d'Urban Rudd,M,South Africa,Athletics,Silver,1
1195,Bi Wenjing,F,China,Gymnastics,Silver,1
1196,Bianca Ambrosetti,F,Italy,Gymnastics,Silver,1
1197,Bianca Margot Wei (-Heinz),F,Germany,Hockey,Silver,1
1198,Bianco Bianchi,M,Italy,Cycling,Silver,1
1199,Bianka Bua,F,Serbia,Volleyball,Silver,1
1200,Bill Dale Disney,M,United States,Speed Skating,Silver,1
1201,Bill Schuffenhauer,M,United States-1,Bobsleigh,Silver,1
1202,Billy Pierre Bakker,M,Netherlands,Hockey,Silver,1
1203,Binia Beeli (-Feltscher),F,Switzerland,Curling,Silver,1
1204,Bino Bini,M,Italy,Fencing,Silver,1
1205,Birger Adolf Wasenius,M,Finland,Speed Skating,Silver,2
1206,Birger Ivar Holmqvist,M,Sweden,Ice Hockey,Silver,1
1207,Birger Johannes Ruud,M,Norway,Ski Jumping,Silver,1
1208,Birgit Fischer-Schmidt,F,East Germany,Canoeing,Silver,1
1209,Birgit Fischer-Schmidt,F,Germany,Canoeing,Silver,3
1210,Birgit Hagen (-Blasberg),F,West Germany,Hockey,Silver,1
1211,Birgit Hahn,F,West Germany,Hockey,Silver,1
1212,Birgit Radochla (-Michailoff),F,Germany,Gymnastics,Silver,1
1213,Birgit Treiber (-Beinroth),F,East Germany,Swimming,Silver,2
1214,Birgitta Kristina Bengtsson,F,Sweden,Sailing,Silver,1
1215,Birte Weigang (-Rode),F,East Germany,Swimming,Silver,2
1216,Biserka Vinji,F,Yugoslavia,Handball,Silver,1
1217,Bjarne Lennart Andersson,M,Sweden,Cross Country Skiing,Silver,1
1218,Bjarne William Iversen,M,Norway,Cross Country Skiing,Silver,1
1219,Bjart Ording,M,Norway,Equestrianism,Silver,1
1220,Bjarte Engen Vik,M,Norway,Nordic Combined,Silver,1
1221,Bjrgvin Pll Gustavsson,M,Iceland,Handball,Silver,1
1222,Bjrn Andreas Paulson,M,Norway,Athletics,Silver,1
1223,Bjrn Bach,M,Germany,Canoeing,Silver,2
1224,Bjrn Henrik Lundqvist,M,Sweden,Ice Hockey,Silver,1
1225,Bjrn Kircheisen,M,Germany,Nordic Combined,Silver,3
1226,Bjrn Otto,M,Germany,Athletics,Silver,1
1227,Bjrn Skjrpe,M,Norway,Gymnastics,Silver,1
1228,Bjrn Vilhelm Ravn Rasmussen,M,Denmark,Football,Silver,1
1229,Bjrne Viktor Vgg,M,Sweden,Fencing,Silver,1
1230,Bla (Vojtech-) Szepes (Strauch-),M,Hungary,Athletics,Silver,1
1231,Bla Erdi,M,Hungary,Gymnastics,Silver,1
1232,Bla Rerrich,M,Hungary,Fencing,Silver,1
1233,Bla Szzados Bkessy,M,Hungary,Fencing,Silver,1
1234,Bla Vrady,M,Hungary,Football,Silver,1
1235,Bla Zulawszky,M,Hungary,Fencing,Silver,1
1236,Bla von Las-Torres,M,Hungary,Swimming,Silver,1
1237,Blagoja Georgievski,M,Yugoslavia,Basketball,Silver,1
1238,Blagoja Vidini,M,Yugoslavia,Football,Silver,1
1239,Blagoy Blagoev,M,Bulgaria,Weightlifting,Silver,1
1240,Blaine Carew Wilson,M,United States,Gymnastics,Silver,1
1241,Blair Catherine Evans,F,Australia,Swimming,Silver,1
1242,Blair Tuke,M,New Zealand,Sailing,Silver,1
1243,Blandine Dancette,F,France,Handball,Silver,1
1244,Blanka Paul (-afrov),F,Czechoslovakia,Cross Country Skiing,Silver,1
1245,Blanka Vlai,F,Croatia,Athletics,Silver,1
1246,Bo Henning Gustafsson,M,Sweden,Athletics,Silver,1
1247,Bo Karl-Olof Knape,M,Sweden,Sailing,Silver,1
1248,Bo Patrik Liljestrand,M,Sweden,Handball,Silver,1
1249,Bo Sigfrid Gabriel Lindman,M,Sweden,Modern Pentathlon,Silver,2
1250,"Bo-Gyung ""Lydia"" Ko",F,New Zealand,Golf,Silver,1
1251,Bob Johannes Carolus de Jong,M,Netherlands,Speed Skating,Silver,1
1252,Bob de Voogd,M,Netherlands,Hockey,Silver,1
1253,Bobby Roy Lohse,M,Sweden,Sailing,Silver,1
1254,Bodo Rudwaleit,M,East Germany,Football,Silver,1
1255,Boena Dobeov (-Kalov),F,Czechoslovakia,Gymnastics,Silver,1
1256,Bogdan Bogdanovi,M,Serbia,Basketball,Silver,1
1257,Bogdan Musiol,M,East Germany-1,Bobsleigh,Silver,3
1258,Bogdan Musiol,M,East Germany-2,Bobsleigh,Silver,1
1259,Bogdan Musiol,M,Germany-1,Bobsleigh,Silver,1
1260,Bohumil Golian,M,Czechoslovakia,Volleyball,Silver,1
1261,Bohumil Kudrna,M,Czechoslovakia,Canoeing,Silver,1
1262,Bohumil Modr,M,Czechoslovakia,Ice Hockey,Silver,1
1263,Bohumil Starnovsk,M,Czechoslovakia,Modern Pentathlon,Silver,1
1264,Bohumila imnov (-etkov),F,Czechoslovakia,Gymnastics,Silver,1
1265,Bohuslav Ebermann,M,Czechoslovakia,Ice Hockey,Silver,1
1266,Bohuslav Karlk,M,Czechoslovakia,Canoeing,Silver,1
1267,Bohuslav astn,M,Czechoslovakia,Ice Hockey,Silver,1
1268,Boidar Stanii,M,Yugoslavia,Water Polo,Silver,1
1269,Bojana Miloevi,F,Yugoslavia,Basketball,Silver,1
1270,Bojana Popovi (Petrovi-),F,Montenegro,Handball,Silver,1
1271,Bojana Radulovics,F,Hungary,Handball,Silver,1
1272,Bojana ivkovi,F,Serbia,Volleyball,Silver,1
1273,Boko Lozica,M,Yugoslavia,Water Polo,Silver,1
1274,Boko Vuksanovi,M,Yugoslavia,Water Polo,Silver,1
1275,Bolat Nuriddinovich Zhumadilov,M,Kazakhstan,Boxing,Silver,2
1276,Bondp Bengt Eriksson,M,Sweden,Nordic Combined,Silver,1
1277,Boniface Mucheru Tumuti,M,Kenya,Athletics,Silver,1
1278,Boris Abramovich Goykhman,M,Soviet Union,Water Polo,Silver,1
1279,Boris Boor,M,Austria,Equestrianism,Silver,1
1280,Boris Dmitriyevich Grishin,M,Soviet Union,Water Polo,Silver,1
1281,Boris Fyodorovich Budnikov,M,Soviet Union,Sailing,Silver,1
1282,Boris Khadzhumarovich Kulayev,M,Soviet Union,Wrestling,Silver,1
1283,Boris Olegovich Mironov,M,Russia,Ice Hockey,Silver,1
1284,Boris Perui,M,Czechoslovakia,Volleyball,Silver,1
1285,Boris Petrovich Mikhaylov,M,Soviet Union,Ice Hockey,Silver,1
1286,Boris Sergeyevich Tokarev,M,Soviet Union,Athletics,Silver,2
1287,Boris Steimetz,M,France,Swimming,Silver,1
1288,Boris Valentinovich Isachenko,M,Soviet Union,Archery,Silver,1
1289,Boris Vasilyevich Andreyev,M,Soviet Union,Shooting,Silver,1
1290,Borys Anfiyanovych Shakhlin,M,Soviet Union,Gymnastics,Silver,4
1291,Borys Hryhorovych Onyshchenko,M,Soviet Union,Modern Pentathlon,Silver,2
1292,Borys Petrovych Melnyk,M,Soviet Union,Shooting,Silver,1
1293,Bowen Dow Stassforth,M,United States,Swimming,Silver,1
1294,"Bradley John ""Brad"" McGee",M,Australia,Cycling,Silver,1
1295,Bradley Marc Wiggins,M,Great Britain,Cycling,Silver,1
1296,"Bradley Wilfred ""Brad"" Schlegel",M,Canada,Ice Hockey,Silver,2
1297,Brady Lee Ellison,M,United States,Archery,Silver,2
1298,Brandi Denise Chastain,F,United States,Football,Silver,1
1299,Brandon Brooks,M,United States,Water Polo,Silver,1
1300,Brandon Douglas Paulson,M,United States,Wrestling,Silver,1
1301,"Branislav ""Branko"" Martinovi",M,Yugoslavia,Wrestling,Silver,1
1302,"Branislav ""Branko"" Stankovi",M,Yugoslavia,Football,Silver,2
1303,Brankica Mihajlovi,F,Serbia,Volleyball,Silver,1
1304,Branko Zebec,M,Yugoslavia,Football,Silver,1
1305,Brbara Micheline do Monte Barbosa,F,Brazil,Football,Silver,1
1306,Brbara Seixas de Freitas,F,Brazil-1,Beach Volleyball,Silver,1
1307,Brbel Struppert (Schrickel-),F,East Germany,Athletics,Silver,1
1308,Brenda Jones (-Carr),F,Australia,Athletics,Silver,1
1309,Brenda Villa,F,United States,Water Polo,Silver,2
1310,Brendan Joseph Hansen,M,United States,Swimming,Silver,1
1311,Brendan Robert Kingman,M,Australia,Baseball,Silver,1
1312,Brent Robert Emery,M,United States,Cycling,Silver,1
1313,Brenton Scott Rickard,M,Australia,Swimming,Silver,2
1314,Brett Aitken,M,Australia,Cycling,Silver,1
1315,Brett Andrew Hull,M,United States,Ice Hockey,Silver,1
1316,Brett Camerota,M,United States,Nordic Combined,Silver,1
1317,Brett McClure,M,United States,Gymnastics,Silver,1
1318,Brett Nicholas Roneberg,M,Australia,Baseball,Silver,1
1319,Brett Paul Tamburrino,M,Australia,Baseball,Silver,1
1320,Brett Ronald Hayman,M,Australia,Rowing,Silver,1
1321,Brian Alan Glencross,M,Australia,Hockey,Silver,1
1322,Brian Carter Tutt,M,Canada,Ice Hockey,Silver,1
1323,Brian Christopher Rafalski,M,United States,Ice Hockey,Silver,2
1324,Brian Clifford Walton,M,Canada,Cycling,Silver,1
1325,Brian Ernest Orser,M,Canada,Figure Skating,Silver,2
1326,Brian G. Jamieson,M,United States,Rowing,Silver,1
1327,Brian Hansen,M,United States,Speed Skating,Silver,1
1328,Brian Joseph Leetch,M,United States,Ice Hockey,Silver,1
1329,Brian Lee Rolston,M,United States,Ice Hockey,Silver,1
1330,Brian Martin,M,United States-2,Luge,Silver,1
1331,Brian Price,M,Canada,Rowing,Silver,1
1332,Brian Richard Ledbetter,M,United States,Sailing,Silver,1
1333,Brian Ronald Peaker,M,Canada,Rowing,Silver,1
1334,Brian Savage,M,Canada,Ice Hockey,Silver,1
1335,Brianna Decker,F,United States,Ice Hockey,Silver,1
1336,Brianne Lea McLaughlin,F,United States,Ice Hockey,Silver,1
1337,Bridget Elizabeth Sloan,F,United States,Gymnastics,Silver,1
1338,Brigetta LaShea Barrett,F,United States,Athletics,Silver,1
1339,Brigita Bukovec,F,Slovenia,Athletics,Silver,1
1340,Brigitte Fetzer (-Consuegra),F,East Germany,Volleyball,Silver,1
1341,Brigitte Gapais-Dumont,F,France,Fencing,Silver,1
1342,Brigitte Guibal,F,France,Canoeing,Silver,1
1343,Brigitte Latrille-Gaudin,F,France,Fencing,Silver,1
1344,Brigitte Oertli,F,Switzerland,Alpine Skiing,Silver,2
1345,Brigitte Totschnig (-Habersatter),F,Austria,Alpine Skiing,Silver,1
1346,"Brigitte Wujak (Knzel-, -Pretzschner)",F,East Germany,Athletics,Silver,1
1347,Brigitte Yage Enrique,F,Spain,Taekwondo,Silver,1
1348,Brimin Kiprop (Firmin-) Kipruto,M,Kenya,Athletics,Silver,1
1349,"Briony Christine ""Bree"" Cole",F,Australia,Diving,Silver,1
1350,Britt Marianne Strandberg (-Lundn),F,Sweden,Cross Country Skiing,Silver,2
1351,Britta Christiane Becker (-Kerner),F,Germany,Hockey,Silver,1
1352,Britta Heidemann,F,Germany,Fencing,Silver,2
1353,Britta Oppelt,F,Germany,Rowing,Silver,2
1354,Brittany Broben,F,Australia,Diving,Silver,1
1355,Brittany Hayes,F,United States,Water Polo,Silver,1
1356,Brittany Joyce Elmslie,F,Australia,Swimming,Silver,3
1357,Brittney Davon Reese,F,United States,Athletics,Silver,1
1358,Bronisaw Malinowski,M,Poland,Athletics,Silver,1
1359,Bronte Amelia Arnold Barratt,F,Australia,Swimming,Silver,2
1360,Brooke Louise Hanson (-Clarke),F,Australia,Swimming,Silver,1
1361,Brooke Pratley,F,Australia,Rowing,Silver,1
1362,Brooke Wilkins,F,Australia,Softball,Silver,1
1363,Bror Benedictus Bernhard Brenner,M,Nina,Sailing,Silver,1
1364,Bror Erik Bylhn,M,Sweden,Athletics,Silver,2
1365,Bror Ingemar Ture Johansson,M,Sweden,Athletics,Silver,1
1366,Bror Karl Fock,M,Sweden,Athletics,Silver,1
1367,Bror Mikael Tobias Karlsson,M,Sweden,Handball,Silver,1
1368,Brre Erik Falkum-Hansen,M,Encore,Sailing,Silver,1
1369,Bruce Bernard Ibbetson,M,United States,Rowing,Silver,1
1370,Bruce D. Kimball,M,United States,Diving,Silver,1
1371,Bruce Ira Harlan,M,United States,Diving,Silver,1
1372,Bruce Oram Davidson,M,United States,Equestrianism,Silver,2
1373,Bruce Richard Robertson,M,Canada,Swimming,Silver,2
1374,Bruce Robert Baumgartner,M,United States,Wrestling,Silver,1
1375,Brunhilde Hendrix (-Ramsauer),F,Germany,Athletics,Silver,1
1376,"Bruno ""Bruninho"" Mossa de Rezende",M,Brazil,Volleyball,Silver,2
1377,Bruno Erich Zander,M,Germany,Hockey,Silver,1
1378,Bruno Fattori,M,Italy,Art Competitions,Silver,1
1379,Bruno Gtze,M,Germany,Cycling,Silver,1
1380,Bruno Monti,M,Italy,Cycling,Silver,1
1381,Bruno Parovel,M,Italy,Rowing,Silver,1
1382,Bruno Prada,M,Brazil,Sailing,Silver,1
1383,Bruno Risi,M,Switzerland,Cycling,Silver,1
1384,Bruno Uvini Bortolana,M,Brazil,Football,Silver,1
1385,Bruno Vattovaz,M,Italy,Rowing,Silver,1
1386,Brutus Kerr Hamilton,M,United States,Athletics,Silver,1
1387,Bryan Coquard,M,France,Cycling,Silver,1
1388,Bryan Ezra Tsumoru Clay,M,United States,Athletics,Silver,1
1389,Bryan John Fowler,M,Great Britain,Polo,Silver,1
1390,Bryan Steel,M,Great Britain,Cycling,Silver,1
1391,Bryony Kate Frances Page,F,Great Britain,Trampolining,Silver,1
1392,Bryshon Lorenzo Nellum,M,United States,Athletics,Silver,1
1393,Burt Plumb McKinnie,M,Trans-Mississippi Golf Association-2,Golf,Silver,1
1394,Burton Cecil Downing,M,United States,Cycling,Silver,3
1395,Buttree Puedpong,F,Thailand,Taekwondo,Silver,1
1396,C. Edmond Spapen,M,Belgium,Wrestling,Silver,1
1397,Cai Tongtong,F,China,Rhythmic Gymnastics,Silver,1
1398,Cai Yun,M,China-1,Badminton,Silver,1
1399,Cai Zelin,M,China,Athletics,Silver,1
1400,Caia Jaqueline van Maasakker,F,Netherlands,Hockey,Silver,1
1401,"Caitlin A. ""Kitty"" Carruthers (-Conrad)",F,United States-1,Figure Skating,Silver,1
1402,Caitlin Kinder Cahow,F,United States,Ice Hockey,Silver,1
1403,Caitlin Lowe,F,United States,Softball,Silver,1
1404,Callum Scotson,M,Australia,Cycling,Silver,1
1405,Callum Skinner,M,Great Britain,Cycling,Silver,1
1406,"Calvin David ""Cal"" Bricker",M,Canada,Athletics,Silver,1
1407,Calvin Thomas Coffey,M,United States,Rowing,Silver,1
1408,Camelia Diaconescu,F,Romania,Rowing,Silver,1
1409,Camelia Voinea,F,Romania,Gymnastics,Silver,1
1410,"Cameron ""Cam"" Baerg",M,Canada,Rowing,Silver,1
1411,"Cameron ""Maxi"" McKenzie-McHarg",M,Australia,Rowing,Silver,1
1412,Cameron Girdlestone,M,Australia,Rowing,Silver,1
1413,Cameron van der Burgh,M,South Africa,Swimming,Silver,1
1414,Camilla Martin (-Nygaard),F,Denmark,Badminton,Silver,1
1415,Camille Anas Ayglon-Saurina,F,France,Handball,Silver,1
1416,Camille Wright (-Thompson),F,United States,Swimming,Silver,1
1417,Camille mile Gaston Michelet,M,Scamasaxe-3,Sailing,Silver,1
1418,Camille-Marie Manuella Muffat,F,France,Swimming,Silver,1
1419,Campbell Walsh,M,Great Britain,Canoeing,Silver,1
1420,Cao Mianying,F,China,Rowing,Silver,1
1421,Cao Zhongrong,M,China,Modern Pentathlon,Silver,1
1422,Caren Jungjohann (-Hecker),F,Germany,Hockey,Silver,1
1423,Caren Metschuck (-Mahn),F,East Germany,Swimming,Silver,1
1424,Cari Read,F,Canada,Synchronized Swimming,Silver,1
1425,Carin Alice Cone (-Vanderbush),F,United States,Swimming,Silver,1
1426,Carin Anuschka ter Beek,F,Netherlands,Rowing,Silver,1
1427,Carina Br,F,Germany,Rowing,Silver,1
1428,Carl Adolf Ragnar Olson,M,Sweden,Equestrianism,Silver,1
1429,Carl Albert Andersen,M,Norway,Gymnastics,Silver,1
1430,Carl Alfred Pedersen,M,Norway,Gymnastics,Silver,1
1431,Carl Andersen,M,Denmark,Gymnastics,Silver,1
1432,Carl August Hjalmar Johansson,M,Sweden,Diving,Silver,1
1433,Carl August Verner Kronlund,M,Sweden,Curling,Silver,1
1434,Carl Axel Fredrik Pettersson,M,Sweden,Curling,Silver,1
1435,Carl Axel Jansson,M,Sweden,Shooting,Silver,1
1436,Carl Christian Peder Carlsen,M,Denmark,Wrestling,Silver,1
1437,Carl Dwayne Norris,M,Canada,Ice Hockey,Silver,1
1438,Carl Edward Johnson,M,United States,Athletics,Silver,1
1439,Carl Eugen Ingebretsen,M,Norway,Gymnastics,Silver,1
1440,Carl Franz Moos,M,Switzerland,Art Competitions,Silver,1
1441,Carl Fredrik Bengt Lagercrantz,M,Sweden,Shooting,Silver,1
1442,Carl Gunnar Emanuel Setterwall,M,Sweden-1,Tennis,Silver,1
1443,Carl Gunnar Emanuel Setterwall,M,Sweden-2,Tennis,Silver,1
1444,Carl Gustaf Bonde,M,Sweden,Equestrianism,Silver,1
1445,Carl Gustaf Moritz Thure Lewenhaupt,M,Sweden,Equestrianism,Silver,1
1446,Carl Gustaf Olof Wejnarth,M,Sweden,Athletics,Silver,1
1447,Carl Hans Theodor Manicus-Hansen,M,Denmark,Gymnastics,Silver,1
1448,Carl Henrik Fljt,M,Finland,Biathlon,Silver,1
1449,Carl Henrik Zetterberg,M,Sweden,Ice Hockey,Silver,1
1450,Carl Johan Erik Jansson,M,Sweden,Diving,Silver,1
1451,Carl Johan Lind,M,Sweden,Athletics,Silver,1
1452,"Carl Joseph Robie, III",M,United States,Swimming,Silver,1
1453,Carl Kaufmann,M,Germany,Athletics,Silver,2
1454,Carl Klth,M,Norway,Gymnastics,Silver,1
1455,Carl Lauritz Mortensen,M,Elisabeth X,Sailing,Silver,1
1456,Carl Leo Holger Nielsen,M,Denmark,Cycling,Silver,1
1457,Carl Leopold Hellstrm,M,Vinga-1,Sailing,Silver,1
1458,Carl Marcus Joakim Hellner,M,Sweden,Cross Country Skiing,Silver,1
1459,Carl Menke,M,Germany,Hockey,Silver,1
1460,Carl Oliver Ruud Hagelin,M,Sweden,Ice Hockey,Silver,1
1461,Carl Otto Forssell,M,Sweden,Fencing,Silver,1
1462,Carl Otto Klose,M,United States,Rowing,Silver,1
1463,Carl Otto Laurits Larsen (-Branning),M,Denmark,Gymnastics,Silver,1
1464,Carl Peder Fredricson,M,Sweden,Equestrianism,Silver,2
1465,Carl Richard Johansson,M,Sweden,Figure Skating,Silver,1
1466,Carl Ruck,M,Germany,Hockey,Silver,1
1467,Carl Rupert Hester,M,Great Britain,Equestrianism,Silver,1
1468,Carl Torsten Leopold Sylvan,M,Sweden,Equestrianism,Silver,1
1469,Carl Townsend Osburn,M,United States,Shooting,Silver,4
1470,Carl Wilhelm Loui Eriksson,M,Sweden,Ice Hockey,Silver,1
1471,Carl Wilhelm Malkus Petersn,M,Sweden,Curling,Silver,1
1472,Carl von Moers,M,Germany,Equestrianism,Silver,1
1473,Carl-Gran berg,M,Sweden,Ice Hockey,Silver,1
1474,"Carl-Ludwig Hermann ""Luz"" Long",M,Germany,Athletics,Silver,1
1475,Carla Marangoni,F,Italy,Gymnastics,Silver,1
1476,Carla Maree Boyd (Porter-),F,Australia,Basketball,Silver,1
1477,Carla Rebecchi,F,Argentina,Hockey,Silver,1
1478,Carlien Clemens Dirkse van den Heuvel,F,Netherlands,Hockey,Silver,1
1479,Carline Bouw,F,Netherlands,Rowing,Silver,1
1480,Carlo Agostoni Faini,M,Italy,Fencing,Silver,2
1481,Carlo Galimberti,M,Italy,Weightlifting,Silver,2
1482,Carlo Gandini,M,Italy,Fencing,Silver,1
1483,Carlo Leonardo Mornati,M,Italy,Rowing,Silver,1
1484,Carlo Luigi Rancati,M,Italy,Cycling,Silver,1
1485,Carlo Massullo,M,Italy,Modern Pentathlon,Silver,2
1486,Carlo Montano,M,Italy,Fencing,Silver,1
1487,Carlo Turcato,M,Italy,Fencing,Silver,1
1488,Carlos Alberto Gamarra Pavon,M,Paraguay,Football,Silver,1
1489,Carlos Alberto Moratorio Telechea,M,Argentina,Equestrianism,Silver,1
1490,Carlos Alberto de Sousa Lopes,M,Portugal,Athletics,Silver,1
1491,Carlos Armando Girn Gutirrez,M,Mexico,Diving,Silver,1
1492,"Carlos Caetano ""Dunga"" Bledorn Verri",M,Brazil,Football,Silver,1
1493,Carlos Delvis Banteux Surez,M,Cuba,Boxing,Silver,1
1494,Carlos Eduardo Honorato,M,Brazil,Judo,Silver,1
1495,Carlos Enrique Daz Senz Valiente Bachman,M,Argentina,Shooting,Silver,1
1496,Carlos Gustavo Bossio,M,Argentina,Football,Silver,1
1497,Carlos Jimnez Snchez,M,Spain,Basketball,Silver,1
1498,Carlos Marchena Lpez,M,Spain,Football,Silver,1
1499,Carlos Mauricio Espnola Lorenzo,M,Argentina,Sailing,Silver,2
1500,Carlos Mercenario Carbajal,M,Mexico,Athletics,Silver,1
1501,Carlos Puyol Saforcada,M,Spain,Football,Silver,1
1502,Carlos Roca Portols,M,Spain,Hockey,Silver,1
1503,Carlos Teodor de Crdenas Culmell,M,Kurush II,Sailing,Silver,1
1504,Carlos de Crdenas Pl,M,Kurush II,Sailing,Silver,1
1505,"Carlton Susumi ""Carl"" Ogawa",M,Canada,Rowing,Silver,1
1506,Carly Rae Patterson (-Caldwell),F,United States,Gymnastics,Silver,2
1507,Carmelita Jeter,F,United States,Athletics,Silver,1
1508,Carmelo Bossi,M,Italy,Boxing,Silver,1
1509,Carmine Abbagnale,M,Italy,Rowing,Silver,1
1510,Carol Elizabeth Heiss (-Jenkins),F,United States,Figure Skating,Silver,1
1511,Carol Feeney,F,United States,Rowing,Silver,1
1512,Carola Dombeck,F,East Germany,Gymnastics,Silver,1
1513,Carole Hlne Merle (-Pellet),F,France,Alpine Skiing,Silver,1
1514,"Carole Louise Quinton (-Barr, -Kibble-White)",F,Great Britain,Athletics,Silver,1
1515,Carolin Leonhardt,F,Germany,Canoeing,Silver,2
